Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
es_gsd-ud-test,426,0,70,,,37.0,,,,,,,,,,,,,,,22.0,,,,11.0,,,,,,
es_gsd-ud-dev,1400,0,151,,,68.0,2.0,,,,,,,,,,,,,,50.0,,,,31.0,,,,,,
es_gsd-ud-train,14187,0,1890,,4.0,822.0,11.0,2.0,,,1.0,,,,1.0,,,1.0,,1.0,619.0,1.0,,,418.0,,1.0,,,3.0,5.0
pt_porttinari-ud-train,5893,0,1152,,115.0,372.0,17.0,1.0,,,16.0,,,8.0,,,,3.0,,,231.0,,,,373.0,3.0,2.0,,,9.0,2.0
pt_porttinari-ud-test,1683,0,353,,40.0,103.0,2.0,,,,4.0,,,2.0,,,,,,,75.0,,,,124.0,,,,,,3.0
pt_porttinari-ud-dev,842,0,165,,18.0,45.0,2.0,,,,1.0,,,2.0,,,,,,,40.0,,,,54.0,,1.0,,,1.0,1.0
sa_vedic-ud-test,2709,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
sa_vedic-ud-train,21477,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-dev,2996,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tl_ugnayan-ud-test,94,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
es_ancora-ud-train,14287,0,2747,38.0,438.0,827.0,48.0,3.0,29.0,6.0,18.0,1.0,8.0,,,9.0,1.0,41.0,,294.0,434.0,15.0,3.0,29.0,438.0,,2.0,18.0,,6.0,41.0
es_ancora-ud-test,1721,0,314,6.0,43.0,80.0,7.0,,3.0,1.0,1.0,,2.0,,,2.0,,1.0,,35.0,54.0,1.0,1.0,1.0,66.0,,,4.0,,2.0,4.0
es_ancora-ud-dev,1654,0,340,8.0,69.0,105.0,5.0,,1.0,1.0,2.0,,,,,1.0,,6.0,,35.0,58.0,,,6.0,37.0,,,3.0,,2.0,1.0
pt_pud-ud-test,1000,0,217,,,,,,,,,,,,,,,,,,32.0,,,,88.0,,,,,,97.0
gl_treegal-ud-train,600,0,105,,10.0,35.0,4.0,,,,2.0,,,,,,,,1.0,,27.0,1.0,,,20.0,,,,,1.0,4.0
gl_treegal-ud-test,400,0,74,,9.0,31.0,1.0,,,,,,,,,,,,,,15.0,,,,12.0,,1.0,,,2.0,3.0
gl_ctg-ud-dev,860,0,191,,,,1.0,,,,83.0,,,,,,,,,,62.0,,,,43.0,,,,,2.0,
gl_ctg-ud-test,861,0,201,,,,,,,,83.0,,,,,,,,,,56.0,,,1.0,57.0,,,,,3.0,1.0
gl_ctg-ud-train,2272,0,565,,,,1.0,,,,230.0,,,,,,,,,,179.0,,,,148.0,,,,,7.0,
pt_petrogold-ud-train,7170,0,1762,,23.0,371.0,6.0,1.0,,,1.0,,,,,,,,,,410.0,1.0,4.0,,937.0,1.0,1.0,,,6.0,
pt_petrogold-ud-test,1039,0,344,,4.0,86.0,4.0,,,,,,,,,,,,,,81.0,,,,168.0,,,,,,1.0
pt_petrogold-ud-dev,737,0,192,,2.0,64.0,1.0,,,,,,,,,,,,,,46.0,,,,79.0,,,,,,
pt_gsd-ud-dev,1204,0,165,,,,2.0,,,,,,,,,,,,,,158.0,,,1.0,4.0,,,,,,
pt_gsd-ud-test,1200,0,173,,,,1.0,,,,,,,,,,,,,,161.0,,,,11.0,,,,,,
pt_gsd-ud-train,9616,0,1455,,,,,,,,,,,,,,,,,,1339.0,,,8.0,107.0,,,,,1.0,
es_pud-ud-test,1000,0,140,,,3.0,,,,,,,,,,,,,,1.0,34.0,,,,27.0,,,,,,75.0
pt_cintil-ud-test,3840,0,560,,,13.0,,,,,13.0,,,,54.0,,,,,,,2.0,,,458.0,,4.0,,,14.0,2.0
pt_cintil-ud-dev,3840,0,294,,,1.0,,1.0,,,1.0,,,,3.0,,,,,,,,,,280.0,,,,,8.0,
pt_cintil-ud-train,30720,0,1954,,,16.0,3.0,14.0,,,1.0,,,,62.0,,,,,,,9.0,,3.0,1628.0,,10.0,,,208.0,
ceb_gja-ud-test,188,0,4,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,
tl_trg-ud-test,128,0,5,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,
pt_bosque-ud-dev,1172,0,141,,,1.0,4.0,,,,,,,,,,,,3.0,,61.0,,,10.0,62.0,,,,,,
pt_bosque-ud-test,1167,0,143,,,,5.0,,,,,,,,,,,,3.0,,64.0,,2.0,3.0,66.0,,,,,,
pt_bosque-ud-train,7018,0,920,,,3.0,34.0,,,,,,,,,,,,17.0,,383.0,,2.0,56.0,416.0,2.0,2.0,,,4.0,1.0
ca_ancora-ud-dev,1709,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
nhi_itml-ud-test,909,0,32,,,13.0,2.0,,,,,,,,,,,,,,4.0,,,,12.0,,,,,1.0,
aln_gps-ud-test,966,0,11,,,1.0,,,,,,,,,,,,,,,1.0,,,,7.0,,,,,1.0,1.0
gl_pud-ud-test,1000,0,139,,24.0,19.0,3.0,,,,,,,,,,,,,,33.0,1.0,,,23.0,,,,,,36.0
azz_itml-ud-test,1260,0,36,,,,,1.0,,,,,,,,,,,,,1.0,,,,33.0,,,,,1.0,
es_coser-ud-test,539,0,46,,2.0,18.0,4.0,,,,1.0,,1.0,,,,,,,1.0,2.0,,,,9.0,,,,1.0,7.0,
