Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,ccomp,nmod,obj,obl,orphan,parataxis,root,xcomp
uk_iu-ud-train,5521,0,1,,,1.0,,,,,,,,
orv_rnc-ud-dev,943,0,5,,,,,,,5.0,,,,
orv_rnc-ud-train,1868,0,37,,,,,,,33.0,3.0,1.0,,
orv_rnc-ud-test,717,0,5,,,,,,,5.0,,,,
orv_ruthenian-ud-train,2789,0,2,,,,,,,1.0,,,1.0,
cu_proiel-ud-train,18327,0,304,9.0,2.0,1.0,,,,287.0,2.0,,2.0,1.0
cu_proiel-ud-test,2096,0,22,,,,,,,22.0,,,,
cu_proiel-ud-dev,2205,0,23,,,,,,,21.0,1.0,,,1.0
ru_taiga-ud-train,16045,0,18,,,,,,,15.0,,2.0,1.0,
ru_syntagrus-ud-train,69630,0,94,,,,,8.0,3.0,75.0,,4.0,4.0,
ru_syntagrus-ud-dev,8906,0,8,,,,,,,6.0,,1.0,1.0,
ru_syntagrus-ud-test,8800,0,8,,,,,,,7.0,,1.0,,
ru_poetry-ud-test,728,0,1,,,,,,,1.0,,,,
ru_poetry-ud-dev,789,0,2,,,,,1.0,,,,1.0,,
ru_poetry-ud-train,3569,0,1,,,,,,,1.0,,,,
orv_torot-ud-test,2955,0,42,1.0,,1.0,,,,39.0,1.0,,,
orv_torot-ud-dev,3061,0,31,1.0,1.0,,,,,27.0,2.0,,,
orv_torot-ud-train,20480,0,210,2.0,1.0,1.0,1.0,,,198.0,5.0,,2.0,
ru_gsd-ud-test,601,0,2,,,,,,,2.0,,,,
ru_gsd-ud-train,3850,0,2,,,,,,,2.0,,,,
