Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,discourse,nmod,obj,obl,parataxis
xcl_caval-ud-train,3185,0,9,,,,,1.0,,8,
xcl_caval-ud-dev,411,0,2,,,,,,,2,
xcl_caval-ud-test,550,0,1,,,,,,,1,
hy_bsut-ud-train,1226,0,5,,1.0,,,,,4,
hy_bsut-ud-test,595,0,9,,2.0,,,,,7,
hy_bsut-ud-dev,479,0,5,,2.0,,,,,3,
hy_armtdp-ud-train,1974,0,23,,2.0,1.0,,5.0,,15,
hy_armtdp-ud-dev,249,0,3,,,,,,,3,
hyw_armtdp-ud-test,680,0,9,1.0,2.0,,,1.0,,5,
hyw_armtdp-ud-dev,694,0,8,,,,,1.0,,7,
hyw_armtdp-ud-train,5282,0,52,,6.0,,1.0,3.0,2.0,39,1.0
