Treebank,Number of Sentences,Failures,Total,advcl,nmod,nummod,obl,root
it_pud-ud-test,1000,0,4,1.0,1.0,,2.0,
it_isdt-ud-test,482,0,1,1.0,,,,
it_isdt-ud-train,13121,0,20,3.0,1.0,,16.0,
it_isdt-ud-dev,564,0,3,2.0,,,1.0,
it_partut-ud-dev,156,0,3,2.0,,,1.0,
it_partut-ud-test,153,0,1,1.0,,,,
it_partut-ud-train,1781,0,8,2.0,,,6.0,
it_twittiro-ud-train,1138,0,1,1.0,,,,
it_markit-ud-test,340,0,2,1.0,,,1.0,
it_markit-ud-train,611,0,2,1.0,,,1.0,
it_markit-ud-dev,341,0,3,,,,3.0,
it_postwita-ud-train,5368,0,4,,,,4.0,
it_postwita-ud-dev,670,0,1,,,,1.0,
it_postwita-ud-test,674,0,2,,,,2.0,
it_vit-ud-train,8277,0,27,1.0,,1.0,24.0,1.0
it_vit-ud-test,1067,0,5,,1.0,,4.0,
it_parlamint-ud-test,375,0,1,,,,1.0,
it_parlamint-ud-train,326,0,1,,,,1.0,
