Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,cc,ccomp,compound,csubj,dep,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
de_hdt-ud-test,18459,0,694,,1.0,4.0,,,,,,175.0,,,11.0,489.0,,,,14.0,
de_hdt-ud-train,153035,0,5528,1.0,,15.0,,,,,,1488.0,,,75.0,3789.0,,5.0,,153.0,2.0
de_hdt-ud-dev,18434,0,546,,,,,,,,,133.0,,,5.0,392.0,1.0,,,15.0,
no_nynorsk-ud-train,14174,0,4,1.0,,,,,,,,,,,,3.0,,,,,
is_pud-ud-test,1000,0,136,13.0,5.0,,,1.0,,2.0,,57.0,1.0,,,44.0,,,,9.0,4.0
de_pud-ud-test,1000,0,27,,1.0,,,,,,,4.0,,,,21.0,,,,1.0,
ga_twittirish-ud-dev,864,0,2,,,,,,,,,2.0,,,,,,,,,
ga_twittirish-ud-test,866,0,1,,,,,,,,,1.0,,,,,,,,,
ga_twittirish-ud-train,866,0,1,,,,,,,,,1.0,,,,,,,,,
fo_oft-ud-test,1208,0,38,1.0,2.0,,,,,,,2.0,3.0,4.0,,20.0,,1.0,,5.0,
ga_idt-ud-train,4005,0,79,,1.0,,,,,,,59.0,,,,16.0,,,,2.0,1.0
ga_idt-ud-test,454,0,1,,,,,,,,,1.0,,,,,,,,,
ga_idt-ud-dev,451,0,2,,,,,,,,,1.0,,,1.0,,,,,,
is_gc-ud-test,540,0,99,,,4.0,,,,,,,,,,95.0,,,,,
is_gc-ud-train,3960,0,693,1.0,3.0,43.0,,,,,,,1.0,,,643.0,,,,1.0,1.0
is_gc-ud-dev,500,0,92,,1.0,2.0,,,,,,,,,,88.0,,,,1.0,
pt_bosque-ud-test,1167,0,1,,,,,,,,,,,,,1.0,,,,,
pt_bosque-ud-train,7018,0,1,,,,,,,,,,,,,1.0,,,,,
is_icepahc-ud-dev,4865,0,701,29.0,12.0,1.0,,12.0,,,,,,,1.0,619.0,,1.0,,24.0,2.0
is_icepahc-ud-train,34007,0,3916,112.0,56.0,5.0,,50.0,1.0,,4.0,,1.0,,3.0,3477.0,,1.0,,192.0,14.0
is_icepahc-ud-test,5157,0,760,20.0,10.0,,,6.0,1.0,,1.0,,,,,657.0,,1.0,,63.0,1.0
de_lit-ud-test,1920,0,25,,1.0,2.0,,,,,,4.0,,,,16.0,,1.0,,,1.0
is_modern-ud-dev,394,0,58,6.0,,,,2.0,,,1.0,,,,,47.0,,,,2.0,
is_modern-ud-train,2703,0,448,27.0,7.0,,,7.0,,,,,,,,392.0,,2.0,,11.0,2.0
is_modern-ud-test,438,0,83,1.0,1.0,,,1.0,,,,,,,1.0,76.0,,,,2.0,1.0
de_gsd-ud-train,13814,0,505,,214.0,1.0,,,,,,97.0,,,,181.0,1.0,,,9.0,2.0
de_gsd-ud-dev,799,0,24,,6.0,,,,,,,4.0,,,1.0,12.0,,,,1.0,
de_gsd-ud-test,977,0,37,1.0,10.0,,,,,,,10.0,,,,16.0,,,,,
qtd_sagt-ud-test,805,0,6,,3.0,,,,,,,1.0,,,,2.0,,,,,
qtd_sagt-ud-dev,801,0,6,,,,,,,,,,,,2.0,3.0,,,1.0,,
qtd_sagt-ud-train,578,0,5,,1.0,,1.0,,,,,,,,,3.0,,,,,
ga_cadhan-ud-test,193,0,2,,,,,,,,,,,,,1.0,,,,1.0,
