Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,nmod,nummod,obl,orphan,parataxis,root
it_old-ud-train,1748,0,74,,1.0,,,2.0,,,68.0,1.0,,2.0
it_old-ud-dev,316,0,18,1.0,,,,,1.0,,15.0,,1.0,
it_old-ud-test,338,0,15,1.0,,,,,,,13.0,,,1.0
it_valico-ud-test,398,0,1,,,,,,,,,,1.0,
it_pud-ud-test,1000,0,42,,,,,,21.0,,21.0,,,
it_isdt-ud-test,482,0,12,,,,,,5.0,,7.0,,,
it_isdt-ud-train,13121,0,362,,,2.0,,,201.0,25.0,129.0,,,5.0
it_isdt-ud-dev,564,0,11,,,,,,9.0,,2.0,,,
lij_glt-ud-test,296,0,6,,,,,,2.0,,4.0,,,
it_partut-ud-dev,156,0,4,,,,,,4.0,,,,,
it_partut-ud-test,153,0,1,,,,,,1.0,,,,,
it_partut-ud-train,1781,0,65,,,,1.0,,39.0,1.0,24.0,,,
cy_ccg-ud-dev,409,0,1,,1.0,,,,,,,,,
cy_ccg-ud-train,1189,0,1,,,,,,,,1.0,,,
it_twittiro-ud-test,142,0,4,,,1.0,,,2.0,,1.0,,,
it_twittiro-ud-train,1138,0,19,,,1.0,,,7.0,,7.0,,1.0,3.0
it_twittiro-ud-dev,144,0,2,,,,,,,,2.0,,,
it_markit-ud-test,340,0,12,,,,,,5.0,,7.0,,,
it_markit-ud-train,611,0,30,,,,,,19.0,,11.0,,,
it_markit-ud-dev,341,0,14,,,,,,9.0,,5.0,,,
it_postwita-ud-train,5368,0,75,,1.0,6.0,2.0,,27.0,,30.0,,4.0,5.0
it_postwita-ud-dev,670,0,8,,,2.0,,,4.0,,2.0,,,
it_postwita-ud-test,674,0,6,,,1.0,,,1.0,,4.0,,,
xum_ikuvina-ud-test,133,0,2,,,,,,,,2.0,,,
it_vit-ud-train,8277,0,399,1.0,3.0,,1.0,1.0,237.0,15.0,138.0,,,3.0
it_vit-ud-test,1067,0,36,,,1.0,,,21.0,1.0,13.0,,,
it_vit-ud-dev,743,0,13,,,,,,6.0,,7.0,,,
it_parlamint-ud-test,375,0,13,,,,,,6.0,,7.0,,,
it_parlamint-ud-train,326,0,16,,,,,,9.0,,7.0,,,
