Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,csubj,nmod,nsubj,obl,orphan,root
la_circse-ud-test,1263,0,2,,,,,,,,1,,1.0
la_perseus-ud-test,939,0,4,,,,,,,,3,,1.0
la_perseus-ud-train,1334,0,1,,,,,,,,1,,
la_proiel-ud-test,1260,0,4,,,,,,,,4,,
la_proiel-ud-dev,1233,0,4,,,,,,,,4,,
la_proiel-ud-train,16196,0,67,1.0,2.0,1.0,,,4.0,1.0,53,1.0,4.0
la_udante-ud-train,926,0,7,,1.0,,1.0,,,,5,,
la_ittb-ud-dev,2101,0,14,1.0,2.0,,2.0,,3.0,,5,,1.0
la_ittb-ud-test,2101,0,2,,,,,,,,2,,
la_ittb-ud-train,22775,0,98,12.0,3.0,,3.0,3.0,7.0,,60,2.0,8.0
