Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
ro_nonstandard-ud-test,1052,0,335,2.0,1.0,3.0,2.0,,,,,,48.0,,,1.0,274,,1.0,2.0,1.0
ro_nonstandard-ud-dev,1052,0,255,,,2.0,2.0,1.0,2.0,,,,39.0,,,1.0,204,4.0,,,
ro_nonstandard-ud-train,24121,0,7922,90.0,53.0,209.0,19.0,17.0,12.0,3.0,2.0,,1316.0,5.0,6.0,1.0,6037,7.0,8.0,96.0,41.0
ro_simonero-ud-test,491,0,365,2.0,10.0,2.0,3.0,3.0,,2.0,,,94.0,,7.0,,229,,,11.0,2.0
ro_simonero-ud-train,3747,0,2740,25.0,89.0,12.0,16.0,13.0,,11.0,1.0,,694.0,2.0,79.0,5.0,1683,,2.0,106.0,2.0
ro_simonero-ud-dev,443,0,346,2.0,15.0,2.0,4.0,3.0,,2.0,1.0,,89.0,,3.0,1.0,210,,,14.0,
ro_tuecl-ud-test,210,0,71,,2.0,,,,,,,,5.0,,1.0,,56,3.0,3.0,1.0,
ro_art-ud-test,50,0,1,,,,,,,,,,,,,,1,,,,
ro_rrt-ud-test,729,0,435,,10.0,1.0,2.0,,,,1.0,,68.0,,29.0,1.0,304,,2.0,15.0,2.0
ro_rrt-ud-train,8043,0,4961,38.0,118.0,52.0,25.0,34.0,,29.0,7.0,1.0,711.0,15.0,180.0,13.0,3537,2.0,8.0,173.0,18.0
ro_rrt-ud-dev,752,0,445,1.0,15.0,3.0,3.0,1.0,,,,,65.0,,11.0,2.0,329,,1.0,14.0,
