Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,vocative,xcomp
en_partut-ud-train,1781,0,6,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
en_partut-ud-test,153,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
no_bokmaal-ud-dev,2409,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
no_bokmaal-ud-test,1939,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
no_bokmaal-ud-train,15696,0,4,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0
es_gsd-ud-dev,1400,0,3,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
es_gsd-ud-train,14187,0,26,,,,,,,,,1.0,,,,,,,,,,22.0,2.0,,,1.0,,,,,,
fi_ood-ud-test,2122,0,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
de_hdt-ud-test,18459,0,153,,,,,,,,,,,,,,,,,,,47.0,,,,106.0,,,,,,
de_hdt-ud-train,153035,0,1096,,,,1.0,,,,,,,,,,,,,,,419.0,,,,675.0,,,,1.0,,
de_hdt-ud-dev,18434,0,156,,,,,,,,,,,,,,,,,,,48.0,,,,108.0,,,,,,
sv_talbanken-ud-test,1219,0,22,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
sv_talbanken-ud-train,4303,0,42,,,,,1.0,,,,,,,,,,,,,,30.0,,,1.0,8.0,,,,2.0,,
es_ancora-ud-train,14287,0,5,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,
es_ancora-ud-test,1721,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
no_nynorsk-ud-dev,1890,0,3,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,
no_nynorsk-ud-test,1511,0,5,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,
no_nynorsk-ud-train,14174,0,29,,,,,,,,,,,,,,,,,,,16.0,,,,13.0,,,,,,
la_circse-ud-test,1263,0,45,,,,,,,,,,,,,,,,,,,,,,1.0,43.0,,,,1.0,,
la_perseus-ud-test,939,0,20,,,,,,,,,,,,,,,,,,,1.0,,,,19.0,,,,,,
la_perseus-ud-train,1334,0,56,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,
lt_hse-ud-train,153,0,2,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
lt_hse-ud-dev,55,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
de_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ro_simonero-ud-train,3747,0,5,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,
ro_simonero-ud-dev,443,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
lt_alksnis-ud-test,684,0,30,,,,2.0,,,,,,,,,,,,,,,,,1.0,,27.0,,,,,,
lt_alksnis-ud-dev,617,0,14,,,,1.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,
lt_alksnis-ud-train,2341,0,70,,,,,,,,,,,,1.0,,,,,,,,,,,69.0,,,,,,
it_old-ud-train,1748,0,623,,,95.0,9.0,,,,1.0,,,,,1.0,,,,,,2.0,,,,507.0,8.0,,,,,
it_old-ud-dev,316,0,146,,,25.0,3.0,,,,,,,,,,,,,,,,,,,115.0,2.0,,,1.0,,
it_old-ud-test,338,0,115,,1.0,12.0,2.0,,,,,,,,,,,,,,,1.0,,,,95.0,4.0,,,,,
la_llct-ud-dev,850,0,237,,1.0,,,,,,,,,,,,,,,,,3.0,,,,231.0,,,,,,2.0
la_llct-ud-test,884,0,263,,,,1.0,,,,,,,,,,,,,,,,,,,262.0,,,,,,
la_llct-ud-train,7289,0,1768,,1.0,2.0,,,,,,,,,,,,,,,,46.0,,,,1698.0,,,,1.0,,20.0
fi_tdt-ud-train,12217,0,5,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
id_gsd-ud-train,4482,0,12,,,,,,,,,,,,,,,,,,,10.0,,2.0,,,,,,,,
it_valico-ud-test,398,0,52,,1.0,17.0,1.0,,,,,,,,,,,,,,,,1.0,,,29.0,,,,,,3.0
id_pud-ud-test,1000,0,11,,,,,,,,,,,,,,,,,,,9.0,,,,2.0,,,,,,
af_afribooms-ud-train,1315,0,19,,,,,,,,,,,,,,,,,,,7.0,,,,12.0,,,,,,
af_afribooms-ud-dev,194,0,4,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,
af_afribooms-ud-test,425,0,3,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
it_pud-ud-test,1000,0,222,,8.0,39.0,2.0,,,,1.0,,,,,,,,,,,50.0,,,,103.0,,,,1.0,,18.0
la_proiel-ud-test,1260,0,24,,,1.0,,1.0,,,,,,,,,,,,,,,,,,22.0,,,,,,
la_proiel-ud-dev,1233,0,28,,,1.0,1.0,,,,,,,,,,,,,,,,,,,24.0,,1.0,,,,1.0
la_proiel-ud-train,16196,0,508,,5.0,23.0,12.0,7.0,,,,,,,1.0,,1.0,,,,,22.0,,,,409.0,14.0,,,9.0,3.0,2.0
pt_cintil-ud-test,3840,0,3,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,
sv_lines-ud-train,3176,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
sv_lines-ud-test,1035,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
en_gum-ud-train,9521,0,37,,,1.0,,,,,1.0,,,,,,,,,,,27.0,,,,8.0,,,,,,
en_gum-ud-test,1285,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
en_gum-ud-dev,1341,0,3,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,
it_isdt-ud-test,482,0,105,,2.0,15.0,2.0,,,,1.0,,,,,,,,,,,29.0,,2.0,,54.0,,,,,,
it_isdt-ud-train,13121,0,2551,,116.0,554.0,21.0,,,,5.0,,,,1.0,,,,,,1.0,617.0,,41.0,,1155.0,,,1.0,24.0,,15.0
it_isdt-ud-dev,564,0,114,,4.0,22.0,3.0,,,,,,,,,,,,,,,31.0,,,,53.0,,,,1.0,,
en_ewt-ud-test,2077,0,5,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,2.0,,
en_ewt-ud-dev,2001,0,3,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,
en_ewt-ud-train,12544,0,49,,,,,,,,,,,,,,,,,,,32.0,,,,17.0,,,,,,
id_csui-ud-test,374,0,25,,,,,,,,,,,,,,,,,,,24.0,,,,1.0,,,,,,
id_csui-ud-train,656,0,64,,,,,,,,,,,,,,,,,1.0,,62.0,,,,1.0,,,,,,
sv_pud-ud-test,1000,0,9,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,
nl_lassysmall-ud-test,1761,0,4,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
nl_lassysmall-ud-dev,1542,0,9,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,,,,,,
nl_lassysmall-ud-train,13817,0,55,,,,,,,,,,,,,,,,,,,33.0,,,1.0,21.0,,,,,,
de_lit-ud-test,1920,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
da_ddt-ud-train,4383,0,28,,,,1.0,,,,,,,,,,,,,,,24.0,,,,2.0,,,,1.0,,
da_ddt-ud-test,565,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
da_ddt-ud-dev,564,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
la_udante-ud-train,926,0,254,,1.0,6.0,3.0,,,,,,,2.0,,,,,,,,1.0,,,1.0,227.0,10.0,,,3.0,,
la_udante-ud-test,419,0,72,,,5.0,,,,,,,,,,,,,,,,1.0,,,,59.0,7.0,,,,,
la_udante-ud-dev,376,0,63,,,2.0,,,,,,,,,,,,,,,,,,,,60.0,1.0,,,,,
it_partut-ud-dev,156,0,22,,1.0,3.0,1.0,,,,,,,,,,,,,,,7.0,,,,10.0,,,,,,
it_partut-ud-test,153,0,32,,,6.0,,,,,,,,,,,,,,,,9.0,,,,17.0,,,,,,
it_partut-ud-train,1781,0,488,,26.0,120.0,4.0,,,,2.0,,,,,,,,,,,158.0,,2.0,,170.0,2.0,,,2.0,,2.0
pcm_nsc-ud-dev,990,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
pcm_nsc-ud-train,7279,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,6,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
ro_rrt-ud-dev,752,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ca_ancora-ud-dev,1709,0,684,3.0,34.0,134.0,11.0,3.0,7.0,,6.0,1.0,3.0,,,,,,2.0,9.0,37.0,110.0,1.0,5.0,6.0,290.0,,,5.0,7.0,,10.0
ca_ancora-ud-test,1846,0,684,5.0,40.0,119.0,11.0,1.0,4.0,2.0,3.0,,,,,,,,,7.0,28.0,99.0,1.0,3.0,4.0,338.0,,,2.0,10.0,,7.0
ca_ancora-ud-train,13123,0,5093,12.0,302.0,928.0,65.0,5.0,28.0,3.0,27.0,7.0,7.0,1.0,5.0,,,,14.0,83.0,218.0,958.0,4.0,17.0,40.0,2233.0,,1.0,23.0,84.0,,28.0
de_gsd-ud-train,13814,0,15,,,,,,,,,,,,,,,,,,,4.0,,,,11.0,,,,,,
de_gsd-ud-dev,799,0,4,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,
aln_gps-ud-test,966,0,29,,1.0,,,,,,,,,,,1.0,,,,,,7.0,,,,14.0,,,,1.0,,5.0
it_twittiro-ud-test,142,0,22,,,3.0,,,,,,,,,,,,,,,,4.0,,,,14.0,,,,1.0,,
it_twittiro-ud-train,1138,0,220,,17.0,43.0,4.0,,,,,,,,,,,,,,,67.0,,,,79.0,,7.0,,1.0,,2.0
it_twittiro-ud-dev,144,0,21,,,6.0,1.0,,,,,,,,,,,,,,,7.0,,,,6.0,,,,1.0,,
it_markit-ud-test,340,0,94,,4.0,24.0,1.0,,,,,,,,,,,,,,,24.0,,,,41.0,,,,,,
it_markit-ud-train,611,0,143,,10.0,29.0,1.0,,,,,,,,,,,,,,,25.0,,,,76.0,,,,2.0,,
it_markit-ud-dev,341,0,61,,2.0,12.0,,,,,1.0,,,,,,,,,,,15.0,,,,29.0,,,,2.0,,
it_postwita-ud-train,5368,0,855,,52.0,157.0,20.0,1.0,,,1.0,,,,,4.0,,,,,,232.0,2.0,3.0,,339.0,,23.0,,14.0,,7.0
it_postwita-ud-dev,670,0,117,,3.0,18.0,3.0,,,,1.0,,,,,,,,,,,40.0,,,,45.0,,4.0,,2.0,,1.0
it_postwita-ud-test,674,0,108,,5.0,16.0,,,,,,,,,,2.0,,,,,,34.0,,,,39.0,2.0,6.0,,3.0,,1.0
xum_ikuvina-ud-test,133,0,11,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,
la_ittb-ud-dev,2101,0,302,,2.0,14.0,,,,,,,,4.0,,,,,,,,5.0,,,,263.0,6.0,,,8.0,,
la_ittb-ud-test,2101,0,249,,3.0,16.0,,,,,,,,,,,,,,,,6.0,,,,208.0,8.0,,,8.0,,
la_ittb-ud-train,22775,0,4124,,65.0,263.0,23.0,,,,6.0,,,27.0,,,,,,,,132.0,1.0,,,3446.0,82.0,,,76.0,,3.0
nl_alpino-ud-train,12289,0,92,,,,,,,,,,,,,,,,,,,48.0,,,,43.0,,1.0,,,,
nl_alpino-ud-test,596,0,6,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,
nl_alpino-ud-dev,718,0,3,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,
it_vit-ud-train,8277,0,2353,,113.0,366.0,15.0,1.0,,,15.0,,,,,,,1.0,,,1.0,753.0,,124.0,,931.0,,1.0,,29.0,,3.0
it_vit-ud-test,1067,0,323,,26.0,34.0,1.0,,,,4.0,,,,,,,,,,1.0,81.0,,19.0,,155.0,,,,2.0,,
it_vit-ud-dev,743,0,483,,9.0,25.0,,,,,1.0,,,,,,,,,,,134.0,,30.0,,279.0,,,,5.0,,
fi_ftb-ud-train,14981,0,3,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
fi_ftb-ud-test,1867,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
en_gentle-ud-test,1334,0,5,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,
it_parlamint-ud-test,375,0,104,,4.0,21.0,1.0,1.0,,,,,,,,,,,,,,24.0,,2.0,,51.0,,,,,,
it_parlamint-ud-train,326,0,91,,8.0,28.0,,,,,,,,,1.0,,,,,,,16.0,,,,38.0,,,,,,
en_pud-ud-test,1000,0,9,,,,,,,,,,,,,,,,,,,8.0,,,,1.0,,,,,,
fr_sequoia-ud-train,2231,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
