Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,dislocated,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,vocative,xcomp
sga_dipsgg-ud-test,64,0,3,,,,,,,,,,,,,3.0,,,,,,,,,,
ga_twittirish-ud-dev,864,0,348,4.0,2.0,,,2.0,,,,,,2.0,,63.0,2.0,2.0,2.0,202.0,,16.0,,18.0,,33.0
ga_twittirish-ud-test,866,0,322,7.0,3.0,1.0,,4.0,1.0,1.0,,,,,,81.0,2.0,,2.0,144.0,,21.0,,22.0,,33.0
ga_twittirish-ud-train,866,0,353,3.0,4.0,,,2.0,,2.0,,,,,,72.0,4.0,,,190.0,,17.0,,28.0,1.0,30.0
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
ga_idt-ud-train,4005,0,2551,112.0,31.0,2.0,,15.0,,23.0,,1.0,,2.0,,502.0,23.0,1.0,20.0,1379.0,,14.0,,91.0,,335.0
ga_idt-ud-test,454,0,270,13.0,4.0,1.0,,3.0,,5.0,,,,2.0,,47.0,4.0,1.0,5.0,139.0,,3.0,,17.0,,26.0
ga_idt-ud-dev,451,0,233,10.0,6.0,,,3.0,,3.0,,,,1.0,,38.0,1.0,1.0,4.0,123.0,,7.0,,15.0,,21.0
gd_arcosg-ud-test,545,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,
gd_arcosg-ud-train,3541,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
cy_ccg-ud-test,953,0,230,3.0,2.0,3.0,1.0,2.0,,,,,,,,60.0,,,1.0,153.0,,2.0,,3.0,,
cy_ccg-ud-dev,409,0,111,2.0,2.0,,,,,,,,,,,36.0,,,,69.0,,,,,,2.0
cy_ccg-ud-train,1189,0,359,4.0,1.0,,,1.0,,,,1.0,,,,94.0,,,1.0,246.0,,,,,,11.0
lv_lvtb-ud-test,2412,0,316,2.0,,,,,,,,,,,213.0,55.0,,,,39.0,,,,7.0,,
lv_lvtb-ud-train,14358,0,2349,11.0,1.0,2.0,1.0,2.0,,,3.0,4.0,,,1477.0,512.0,2.0,6.0,4.0,302.0,4.0,,3.0,13.0,,2.0
lv_lvtb-ud-dev,2080,0,304,1.0,,,1.0,,,,1.0,,,,204.0,58.0,,1.0,1.0,31.0,,1.0,,5.0,,
sga_dipwbg-ud-test,34,0,5,,,,,,,,,,1.0,,,,,,,4.0,,,,,,
ga_cadhan-ud-test,193,0,109,4.0,2.0,,,1.0,,2.0,,,,,,16.0,1.0,,1.0,48.0,,3.0,,9.0,,22.0
