Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,compound,cop,dep,iobj,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,10,,,,2.0,,,,,,,,,,,,,8,,,,
es_gsd-ud-dev,1400,0,46,,1.0,5.0,1.0,,,,,,,,,6.0,,,,32,,,1.0,
es_gsd-ud-train,14187,0,464,,1.0,39.0,48.0,,,,,,,,,103.0,,,,272,,,1.0,
pt_porttinari-ud-train,5893,0,93,,,7.0,10.0,,,1.0,,,,,,14.0,1.0,,,60,,,,
pt_porttinari-ud-test,1683,0,16,,,2.0,1.0,,,,,,,,,5.0,,,,8,,,,
pt_porttinari-ud-dev,842,0,9,,,2.0,2.0,,,,,,,,,1.0,,,,4,,,,
es_ancora-ud-train,14287,0,438,6.0,6.0,57.0,57.0,3.0,2.0,1.0,1.0,1.0,,,9.0,44.0,,1.0,1.0,243,,3.0,2.0,1.0
es_ancora-ud-test,1721,0,50,1.0,,6.0,4.0,,1.0,,,,,,1.0,7.0,,1.0,,28,,,1.0,
es_ancora-ud-dev,1654,0,64,1.0,3.0,7.0,9.0,1.0,,,,,,,3.0,5.0,,1.0,,34,,,,
gl_treegal-ud-train,600,0,11,,,,1.0,,,,,,,,,2.0,,,,8,,,,
gl_treegal-ud-test,400,0,10,,,,1.0,,,,,,,,,5.0,,,,4,,,,
gl_ctg-ud-dev,860,0,19,,,,,,,2.0,,,,,,4.0,,,,13,,,,
gl_ctg-ud-test,861,0,21,,,,1.0,,,,,,,,,2.0,,,,18,,,,
gl_ctg-ud-train,2272,0,54,,,,4.0,,,3.0,,,,,,18.0,,,,29,,,,
pt_petrogold-ud-train,7170,0,39,,,2.0,1.0,,,,,,,,,2.0,1.0,1.0,,32,,,,
pt_petrogold-ud-test,1039,0,2,,,,,,,,,,,,,,,,,2,,,,
pt_petrogold-ud-dev,737,0,6,,,,,,,,,,,,,3.0,,,,3,,,,
pt_gsd-ud-dev,1204,0,3,,,,,,,,,,,,,,,,,3,,,,
pt_gsd-ud-test,1200,0,2,,,1.0,,,,,,,,,,,,,,1,,,,
pt_gsd-ud-train,9616,0,27,,,1.0,,,,,,,,,,4.0,,,,22,,,,
es_pud-ud-test,1000,0,30,,,,,,,,,,,,,3.0,,,,26,,,,1.0
pt_cintil-ud-test,3840,0,40,,,5.0,,,,,,,1.0,,,,,,,34,,,,
pt_cintil-ud-dev,3840,0,21,,,2.0,,,,,,,,,,,,,,19,,,,
pt_cintil-ud-train,30720,0,76,,,10.0,,,,,,,,,,,,,,65,,,,1.0
pt_bosque-ud-dev,1172,0,7,,,,1.0,,,,,,,,,1.0,,,,5,,,,
pt_bosque-ud-test,1167,0,10,,,,1.0,,,,,,,,,,,,,9,,,,
pt_bosque-ud-train,7018,0,87,,,,6.0,,,,,,,1.0,,20.0,,,,59,1.0,,,
nhi_itml-ud-test,909,0,3,,,1.0,1.0,,,,,,,,,,,,,1,,,,
gl_pud-ud-test,1000,0,16,,1.0,,,,,,,,,,,1.0,,,,14,,,,
es_coser-ud-test,539,0,4,,,,2.0,,,,,,,,,,,,,2,,,,
