Treebank,Number of Sentences,Failures,Total,_,advcl,advmod,dep,nmod,nsubj,obl,punct,root,xcomp
cs_pud-ud-test,1000,0,3,,,,,,,3,,,
cs_fictree-ud-dev,1309,0,3,,,,,,,3,,,
cs_fictree-ud-train,10160,0,39,,,,,6.0,,32,,1.0,
cs_fictree-ud-test,1291,0,2,,,,,,,2,,,
cs_pdt-ud-test,10146,0,15,,,,,1.0,,13,,1.0,
cs_pdt-ud-dev,9270,0,21,,,,1.0,1.0,,18,,1.0,
cs_pdt-ud-train,68491,0,152,1.0,,1.0,1.0,2.0,1.0,141,1.0,3.0,1.0
cs_cac-ud-dev,603,0,1,,,,,,,1,,,
cs_cac-ud-train,23478,0,91,,1.0,,1.0,6.0,,80,,3.0,
cs_cac-ud-test,628,0,2,,,,,1.0,,1,,,
