Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,csubj,dep,flat,list,mark,nmod,nsubj,obl,orphan,parataxis,root,xcomp
pt_porttinari-ud-train,5893,0,111,3.0,25.0,1.0,,,1.0,1.0,,33.0,,37.0,1.0,1.0,8.0,
pt_porttinari-ud-test,1683,0,26,1.0,7.0,,,,,,,5.0,,11.0,,,,2.0
pt_porttinari-ud-dev,842,0,16,,4.0,,,,,,,6.0,,5.0,,,1.0,
pt_petrogold-ud-train,7170,0,66,9.0,21.0,,,,,,,17.0,,18.0,,,,1.0
pt_petrogold-ud-test,1039,0,31,,2.0,,,,,,,24.0,,5.0,,,,
pt_petrogold-ud-dev,737,0,1,,1.0,,,,,,,,,,,,,
pt_gsd-ud-dev,1204,0,2,,,,,,,,,1.0,,1.0,,,,
pt_gsd-ud-test,1200,0,3,,,,,,,,,2.0,,1.0,,,,
pt_gsd-ud-train,9616,0,16,,,1.0,,,,,,9.0,,6.0,,,,
pt_cintil-ud-test,3840,0,54,,2.0,,,3.0,,,,,,44.0,,2.0,2.0,1.0
pt_cintil-ud-dev,3840,0,36,,,,,4.0,,,,,,23.0,,1.0,8.0,
pt_cintil-ud-train,30720,0,348,,2.0,,1.0,17.0,,,,,,254.0,,5.0,69.0,
is_gc-ud-test,540,0,1,,,,,,,,,,,1.0,,,,
is_gc-ud-train,3960,0,26,,,1.0,,,,,,,,25.0,,,,
is_gc-ud-dev,500,0,4,,,,,,,,,,,4.0,,,,
pt_bosque-ud-dev,1172,0,25,,,,,,,,1.0,14.0,1.0,6.0,,,2.0,1.0
pt_bosque-ud-test,1167,0,19,,1.0,,,,,,,8.0,,9.0,,1.0,,
pt_bosque-ud-train,7018,0,100,1.0,4.0,,1.0,,,,,40.0,,47.0,,,4.0,3.0
is_icepahc-ud-train,34007,0,1,,,,,,,,,,,1.0,,,,
ca_ancora-ud-train,13123,0,0,,,,,,,,,,,,,,,
