Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,dislocated,flat,iobj,nmod,nsubj,nummod,obj,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,9,,,,,,,,,,,,,1.0,,,,7.0,,,1.0,
en_partut-ud-train,1781,0,108,,,2.0,,,,,,1.0,,,,22.0,,,,82.0,,,,1.0
en_partut-ud-test,153,0,13,,,,1.0,,,,,,,,,1.0,,1.0,,10.0,,,,
es_gsd-ud-train,14187,0,1,,,,,,,,,,,,,1.0,,,,,,,,
qpm_philotis-ud-train,980,0,63,,,,1.0,,,,,3.0,,,,,,,1.0,50.0,,,8.0,
qpm_philotis-ud-dev,635,0,30,,,,4.0,,,,,,,,11.0,5.0,,,,7.0,,,3.0,
qpm_philotis-ud-test,635,0,25,,,2.0,,,,,,,,,,1.0,,,,18.0,,,3.0,1.0
pt_gsd-ud-train,9616,0,2,,,,,,,,,,,,,1.0,,,,,,,,1.0
ga_twittirish-ud-dev,864,0,6,,,,,,,,1.0,,,,,2.0,,,,3.0,,,,
ga_twittirish-ud-test,866,0,5,,,,,,,,,,,,,3.0,,,,1.0,1.0,,,
ga_twittirish-ud-train,866,0,4,,,,,,,,,,,,,3.0,,,,1.0,,,,
en_atis-ud-test,586,0,11,,,,,,,,,,,,,1.0,,1.0,,9.0,,,,
en_atis-ud-train,4274,0,145,,1.0,,8.0,,,,,,,,,30.0,,3.0,,102.0,,,1.0,
en_atis-ud-dev,572,0,22,,,,,,,,,,,,,6.0,,,,16.0,,,,
en_gum-ud-train,9521,0,645,2.0,2.0,4.0,,,1.0,4.0,1.0,1.0,,,,150.0,1.0,2.0,3.0,454.0,2.0,2.0,15.0,1.0
en_gum-ud-test,1285,0,94,,1.0,,,,,,,,,,,19.0,,1.0,1.0,65.0,,1.0,4.0,2.0
en_gum-ud-dev,1341,0,85,,,3.0,,,,1.0,,,,,,13.0,,2.0,,61.0,2.0,,2.0,1.0
en_lines-ud-train,3176,0,252,,2.0,,6.0,,,,,,,,,39.0,1.0,3.0,,199.0,1.0,,1.0,
en_lines-ud-dev,1032,0,84,,2.0,2.0,3.0,,,,,,,,,20.0,,,,57.0,,,,
en_lines-ud-test,1035,0,79,,1.0,,,,,1.0,,,1.0,,,17.0,,1.0,,54.0,,,4.0,
en_ewt-ud-test,2077,0,102,,,,,,,1.0,,,,,,32.0,,,,63.0,1.0,,5.0,
en_ewt-ud-dev,2001,0,96,,2.0,1.0,,,,,,,,,,23.0,,,,64.0,,,5.0,1.0
en_ewt-ud-train,12544,0,780,,15.0,9.0,2.0,,,7.0,,1.0,,,,214.0,,,1.0,503.0,6.0,,19.0,3.0
pcm_nsc-ud-dev,990,0,23,,,,1.0,,,1.0,,,,,,1.0,,,,12.0,1.0,,7.0,
pcm_nsc-ud-train,7279,0,86,,1.0,1.0,6.0,,,7.0,,,,,,,1.0,4.0,1.0,27.0,2.0,1.0,34.0,1.0
pcm_nsc-ud-test,972,0,14,,,,2.0,,,1.0,,,,,,,,,,5.0,,1.0,4.0,1.0
ha_southernautogramm-ud-test,1918,0,7,,,,1.0,,,,,,,,,,,,,6.0,,,,
got_proiel-ud-dev,985,0,24,,,5.0,,1.0,,,,,,,,2.0,,,,15.0,,,,1.0
got_proiel-ud-train,3387,0,102,,,17.0,,1.0,,,,,,,,2.0,,,,73.0,,,1.0,8.0
got_proiel-ud-test,1029,0,19,,,5.0,,1.0,,,,,,,,,,,1.0,10.0,,,,2.0
cy_ccg-ud-test,953,0,31,,1.0,1.0,,,,2.0,,,,,,5.0,,,,22.0,,,,
cy_ccg-ud-dev,409,0,29,,,,,,,,,,,,,1.0,,,,28.0,,,,
cy_ccg-ud-train,1189,0,57,,2.0,3.0,,,,1.0,,,,,,10.0,,,,41.0,,,,
en_pronouns-ud-test,285,0,10,,,,,,,,,,,,,,,,,,,,5.0,5.0
en_gentle-ud-test,1334,0,48,,,2.0,,,,1.0,,,,,,8.0,,,,36.0,,,1.0,
en_pud-ud-test,1000,0,87,,,,,,,,,,,1.0,,22.0,,1.0,,58.0,,,5.0,
