Treebank,Number of Sentences,Failures,Total,advcl,appos,flat,nmod,obl,orphan,root
orv_rnc-ud-dev,943,0,10,,2.0,,1.0,7,,
orv_rnc-ud-train,1868,0,17,,2.0,,,10,,5.0
orv_rnc-ud-test,717,0,10,,,,1.0,9,,
orv_ruthenian-ud-test,390,0,18,,1.0,,4.0,13,,
orv_ruthenian-ud-train,2789,0,257,1.0,2.0,,2.0,252,,
orv_ruthenian-ud-dev,344,0,6,,,,,6,,
orv_birchbark-ud-train,1045,0,5,,,,1.0,2,1.0,1.0
orv_birchbark-ud-dev,1062,0,7,,1.0,1.0,,5,,
orv_birchbark-ud-test,1007,0,4,,,,,4,,
orv_torot-ud-test,2955,0,9,1.0,2.0,,,6,,
orv_torot-ud-dev,3061,0,6,,1.0,,,5,,
orv_torot-ud-train,20480,0,32,2.0,,,,29,1.0,
