Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,discourse,dislocated,flat,nmod,nummod,obl,parataxis,reparandum,root,vocative,xcomp
en_partut-ud-dev,156,0,10,,,,,,,,,,3.0,,7.0,,,,,
en_partut-ud-train,1781,0,231,1.0,28.0,2.0,,,,,,,43.0,1.0,155.0,,,1.0,,
en_partut-ud-test,153,0,23,,1.0,,,,,,,,1.0,1.0,20.0,,,,,
es_gsd-ud-train,14187,0,2,,,,,,,,,,2.0,,,,,,,
ga_twittirish-ud-dev,864,0,1,,,,,,,,,,,,1.0,,,,,
ga_twittirish-ud-test,866,0,1,,,,,,,,,,,,1.0,,,,,
en_atis-ud-test,586,0,7,,,,,,,,,,2.0,,5.0,,,,,
en_atis-ud-train,4274,0,45,,,1.0,,,,,,,7.0,,37.0,,,,,
en_atis-ud-dev,572,0,4,,,,,,,,,,,,4.0,,,,,
id_gsd-ud-train,4482,0,1,,,,,,,,,,1.0,,,,,,,
af_afribooms-ud-train,1315,0,129,,,,,,,,,,15.0,,113.0,,,1.0,,
af_afribooms-ud-dev,194,0,15,,,,,,,,,,1.0,,13.0,,,,,1.0
af_afribooms-ud-test,425,0,10,,,,,,,,,,1.0,,9.0,,,,,
nds_lsdc-ud-train,500,0,34,,1.0,2.0,,,,,,,,,28.0,,,3.0,,
nds_lsdc-ud-test,500,0,44,,1.0,3.0,,,,,,,2.0,,38.0,,,,,
en_gum-ud-train,9521,0,486,2.0,4.0,,,,,,,,67.0,,387.0,,,26.0,,
en_gum-ud-test,1285,0,79,,,,,,,,,,15.0,,63.0,,,1.0,,
en_gum-ud-dev,1341,0,70,,,,,,,,,,8.0,,61.0,,,1.0,,
en_lines-ud-train,3176,0,183,,31.0,3.0,1.0,,,3.0,1.0,,14.0,,129.0,,,,,1.0
en_lines-ud-dev,1032,0,64,1.0,15.0,1.0,,,,,,,7.0,1.0,39.0,,,,,
en_lines-ud-test,1035,0,57,,6.0,,,,,,,,7.0,,43.0,,,1.0,,
en_ewt-ud-test,2077,0,71,,,,,,,,,,9.0,,61.0,,,1.0,,
en_ewt-ud-dev,2001,0,56,,,,,,,,,,11.0,,43.0,1.0,,1.0,,
en_ewt-ud-train,12544,0,555,,2.0,,,,,,,,64.0,,474.0,1.0,,14.0,,
pcm_nsc-ud-dev,990,0,8,,,,,,,,,,3.0,,3.0,,,2.0,,
pcm_nsc-ud-train,7279,0,67,,1.0,2.0,,2.0,,,,,6.0,,50.0,,3.0,2.0,,1.0
pcm_nsc-ud-test,972,0,7,,,,,,,,,,,,6.0,,,1.0,,
it_twittiro-ud-train,1138,0,2,,,,,,,,,,1.0,,,1.0,,,,
it_markit-ud-test,340,0,1,,,,,,,,,,,,1.0,,,,,
it_postwita-ud-train,5368,0,6,,,,,,,,,1.0,2.0,,,2.0,,,1.0,
en_gentle-ud-test,1334,0,73,2.0,,,,,,,,,9.0,,58.0,,,4.0,,
en_pud-ud-test,1000,0,106,,,,,,2.0,,,2.0,10.0,,91.0,,,1.0,,
