Treebank,Number of Sentences,Failures,Total,iobj,nmod,obl,reparandum,root,xcomp
frm_profiterole-ud-test,512,0,12,,2.0,10,,,
fr_pud-ud-test,1000,0,1,,,1,,,
fr_gsd-ud-train,14450,0,62,,8.0,54,,,
fr_gsd-ud-dev,1476,0,9,,4.0,5,,,
fr_rhapsodie-ud-train,1288,0,14,,,14,,,
fr_rhapsodie-ud-dev,1081,0,4,,1.0,3,,,
fr_rhapsodie-ud-test,840,0,2,,,2,,,
fr_parisstories-ud-dev,692,0,3,,,1,,1.0,1.0
fr_parisstories-ud-train,1387,0,6,,,4,2.0,,
fr_parisstories-ud-test,697,0,4,,,4,,,
fro_profiterole-ud-train,15503,0,47,13.0,,34,,,
qaf_arabizi-ud-train,1003,0,1,,,1,,,
fr_partut-ud-train,803,0,8,,1.0,7,,,
fr_sequoia-ud-test,456,0,2,,1.0,1,,,
fr_sequoia-ud-train,2231,0,15,,5.0,10,,,
fr_sequoia-ud-dev,412,0,3,,,3,,,
