Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,expl,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
gun_dooley-ud-test,1046,0,1,,,,,,,,,,,,,,,,1.0,,,,
ro_nonstandard-ud-test,1052,0,333,,,4.0,5.0,,,,,1.0,,,7.0,,,4.0,309.0,2.0,,1.0,
ro_nonstandard-ud-dev,1052,0,318,,,6.0,1.0,1.0,,,,,,1.0,11.0,,,7.0,287.0,2.0,,1.0,1.0
ro_nonstandard-ud-train,24121,0,7300,20.0,15.0,201.0,96.0,13.0,4.0,2.0,,,5.0,5.0,455.0,19.0,1.0,5.0,6399.0,5.0,4.0,35.0,16.0
ro_simonero-ud-test,491,0,49,,3.0,,,,,,,,,,21.0,1.0,,3.0,18.0,,,3.0,
ro_simonero-ud-train,3747,0,370,1.0,10.0,3.0,4.0,,,,,,,,107.0,3.0,,38.0,192.0,,,12.0,
ro_simonero-ud-dev,443,0,46,,1.0,,,1.0,,,,,,,10.0,,,1.0,25.0,,,8.0,
ga_twittirish-ud-dev,864,0,1,,,,,,,,,,,,,,,,1.0,,,,
ro_tuecl-ud-test,210,0,46,,,2.0,,,,,,,,,4.0,,,16.0,24.0,,,,
gun_thomas-ud-test,98,0,16,2.0,1.0,,,,,,,,,,,,,,12.0,,,1.0,
mpu_tudet-ud-test,37,0,2,,,,,,,,,,,,,,,,2.0,,,,
myu_tudet-ud-test,158,0,12,,,,,,,,2.0,,,,,,,,9.0,,,1.0,
lij_glt-ud-test,296,0,57,1.0,4.0,2.0,,,,,,,,1.0,13.0,,,1.0,30.0,,1.0,2.0,2.0
lij_glt-ud-train,20,0,1,,,,,,,,,,,,,,,,1.0,,,,
ro_rrt-ud-test,729,0,146,,5.0,2.0,,1.0,,,,,,,27.0,1.0,,31.0,69.0,,,9.0,1.0
ro_rrt-ud-train,8043,0,1341,9.0,29.0,38.0,5.0,6.0,,1.0,,,9.0,,163.0,1.0,7.0,328.0,705.0,5.0,,32.0,3.0
ro_rrt-ud-dev,752,0,127,1.0,7.0,3.0,,2.0,,,,,1.0,,11.0,,,25.0,71.0,,,6.0,
urb_tudet-ud-test,83,0,3,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
eme_tudet-ud-test,913,0,2,,,,,,,,,,,,,,,,,,,2.0,
aqz_tudet-ud-test,343,0,1,,,,,,,,,,,,,,,,,,,1.0,
