Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dislocated,nmod,obl,root
frm_profiterole-ud-test,512,0,2,,1.0,,,,,1.0,
fr_pud-ud-test,1000,0,23,,1.0,,,,14.0,8.0,
fr_fqb-ud-test,2289,0,2,,,,,,,2.0,
fr_gsd-ud-test,416,0,3,,1.0,,,,2.0,,
fr_gsd-ud-train,14450,0,139,1.0,20.0,1.0,,,36.0,80.0,1.0
fr_gsd-ud-dev,1476,0,10,,,,,,2.0,8.0,
fr_rhapsodie-ud-train,1288,0,4,,,,,,,3.0,1.0
fr_rhapsodie-ud-dev,1081,0,3,,1.0,,,,1.0,1.0,
fr_rhapsodie-ud-test,840,0,7,1.0,,,,1.0,,4.0,1.0
fr_parisstories-ud-dev,692,0,3,,1.0,,,,,2.0,
fr_parisstories-ud-train,1387,0,5,,1.0,,,,2.0,2.0,
qaf_arabizi-ud-train,1003,0,2,,1.0,,1.0,,,,
qaf_arabizi-ud-test,145,0,2,,1.0,,,,,1.0,
fr_partut-ud-test,110,0,2,,,,,,,2.0,
fr_partut-ud-train,803,0,8,,,,,,1.0,6.0,1.0
fr_sequoia-ud-test,456,0,4,,2.0,,,,1.0,1.0,
fr_sequoia-ud-train,2231,0,51,,15.0,2.0,,,4.0,29.0,1.0
fr_sequoia-ud-dev,412,0,11,1.0,5.0,,,,,5.0,
