Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,nmod,obj,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,2,,,,,,,,,,,1.0,1.0
la_perseus-ud-test,939,0,1,,,,,,,,,1.0,,,
la_llct-ud-train,7289,0,1,,,,,,,,,1.0,,,
la_proiel-ud-test,1260,0,1,,,,,,,,,1.0,,,
la_proiel-ud-dev,1233,0,1,,,,,,,,,1.0,,,
la_proiel-ud-train,16196,0,22,,1.0,1.0,2.0,,,,,16.0,,1.0,1.0
la_udante-ud-train,926,0,8,,,,,1.0,1.0,,,6.0,,,
la_udante-ud-test,419,0,3,,2.0,,,,,,,1.0,,,
la_udante-ud-dev,376,0,2,,,,,,,,,2.0,,,
la_ittb-ud-dev,2101,0,1,,1.0,,,,,,,,,,
la_ittb-ud-test,2101,0,17,8.0,4.0,,,,,1.0,,4.0,,,
la_ittb-ud-train,22775,0,80,21.0,5.0,1.0,,1.0,4.0,7.0,1.0,30.0,1.0,9.0,
