Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,dislocated,mark,nmod,nsubj,obj,obl,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,183,37.0,11.0,2.0,,,,,,,67.0,,1.0,65,,,
no_bokmaal-ud-test,1939,0,139,23.0,14.0,3.0,,,,,,,44.0,,1.0,53,,1.0,
no_bokmaal-ud-train,15696,0,1163,181.0,132.0,17.0,,2.0,1.0,,,,423.0,2.0,2.0,390,,11.0,2.0
sv_talbanken-ud-dev,504,0,41,3.0,1.0,1.0,,,,,,,20.0,,,16,,,
sv_talbanken-ud-test,1219,0,90,2.0,14.0,1.0,,,,,,,27.0,,,46,,,
sv_talbanken-ud-train,4303,0,256,14.0,32.0,1.0,,,,,,1.0,87.0,,,111,1.0,6.0,3.0
no_nynorsk-ud-dev,1890,0,182,25.0,26.0,2.0,1.0,,,,,,60.0,1.0,,66,,1.0,
no_nynorsk-ud-test,1511,0,119,14.0,14.0,3.0,,,,,,,40.0,,,46,1.0,1.0,
no_nynorsk-ud-train,14174,0,1381,217.0,121.0,12.0,5.0,1.0,,,,,549.0,6.0,4.0,449,,12.0,5.0
af_afribooms-ud-train,1315,0,554,,,,,2.0,,10.0,,,25.0,1.0,3.0,385,,19.0,109.0
af_afribooms-ud-dev,194,0,85,,,,,2.0,,1.0,,,1.0,,,57,,2.0,22.0
af_afribooms-ud-test,425,0,209,,,,,,,1.0,,,2.0,,2.0,160,,8.0,36.0
sv_lines-ud-dev,1032,0,111,7.0,2.0,,,5.0,,,4.0,,38.0,,1.0,42,1.0,6.0,5.0
sv_lines-ud-train,3176,0,204,25.0,9.0,1.0,1.0,16.0,1.0,,7.0,1.0,57.0,,2.0,62,,18.0,4.0
sv_lines-ud-test,1035,0,57,5.0,,,,3.0,,,1.0,,12.0,,,32,1.0,3.0,
sv_pud-ud-test,1000,0,62,7.0,9.0,,,,1.0,,,,21.0,,,23,,1.0,
nl_lassysmall-ud-test,1761,0,145,22.0,56.0,,,7.0,3.0,,,2.0,3.0,1.0,,32,1.0,,18.0
nl_lassysmall-ud-dev,1542,0,71,17.0,36.0,,,4.0,4.0,,,,3.0,,,5,,,2.0
nl_lassysmall-ud-train,13817,0,975,201.0,411.0,,,69.0,47.0,,,6.0,35.0,,,112,11.0,16.0,67.0
da_ddt-ud-train,4383,0,427,16.0,77.0,9.0,,,,,,50.0,167.0,1.0,2.0,100,,2.0,3.0
da_ddt-ud-test,565,0,49,4.0,11.0,1.0,,,,,,2.0,17.0,,,14,,,
da_ddt-ud-dev,564,0,52,2.0,5.0,1.0,,,,,,2.0,23.0,,,19,,,
de_gsd-ud-train,13814,0,1,,,,,,,,,,,,,1,,,
nl_alpino-ud-train,12289,0,674,132.0,201.0,,,55.0,48.0,,,2.0,37.0,,,115,14.0,28.0,42.0
nl_alpino-ud-test,596,0,39,7.0,10.0,,,7.0,1.0,,,,,1.0,,7,,1.0,5.0
nl_alpino-ud-dev,718,0,40,12.0,9.0,,,3.0,,,,,2.0,,,5,1.0,3.0,5.0
