Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,discourse,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
uk_iu-ud-dev,673,0,7,,,,2.0,,,,1.0,,,,4,,,,
uk_iu-ud-train,5521,0,65,,,,1.0,,,,9.0,,,,51,,1.0,3.0,
uk_iu-ud-test,898,0,8,,,,1.0,,,,2.0,,,,5,,,,
be_hse-ud-train,22853,0,156,,,,5.0,,,,43.0,,,1.0,85,,4.0,18.0,
be_hse-ud-dev,1301,0,13,,,,,,,,2.0,,,,9,,1.0,1.0,
be_hse-ud-test,1077,0,3,,,,,,,,1.0,,,,2,,,,
cu_proiel-ud-train,18327,0,153,3.0,4.0,1.0,1.0,1.0,,,19.0,1.0,,,78,4.0,,24.0,17.0
cu_proiel-ud-test,2096,0,19,1.0,1.0,,,,,,,,,,13,,,1.0,3.0
cu_proiel-ud-dev,2205,0,13,,,,,,,,,,,,10,,,1.0,2.0
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,1,,,,
ru_taiga-ud-train,16045,0,150,,,,,,,,30.0,,,,93,1.0,9.0,16.0,1.0
ru_taiga-ud-dev,946,0,15,,1.0,,,,,,4.0,,,,9,,1.0,,
ru_taiga-ud-test,881,0,15,,,,,,,,5.0,,,,8,,2.0,,
ru_syntagrus-ud-train,69630,0,812,,1.0,1.0,3.0,2.0,,,152.0,1.0,,,592,,28.0,30.0,2.0
ru_syntagrus-ud-dev,8906,0,87,1.0,,,,,,,18.0,1.0,,,58,,5.0,4.0,
ru_syntagrus-ud-test,8800,0,110,,,,,1.0,,,20.0,,,,81,,7.0,1.0,
ru_poetry-ud-test,728,0,15,,,,,,,,4.0,,,,11,,,,
ru_poetry-ud-dev,789,0,9,,,,,,,,1.0,,,,7,,,1.0,
ru_poetry-ud-train,3569,0,43,,,,,,,,9.0,,,,33,,,1.0,
ru_pud-ud-test,1000,0,11,,1.0,,,,,,,,,,10,,,,
orv_torot-ud-test,2955,0,30,,1.0,,,,,,,1.0,,,23,,,2.0,3.0
orv_torot-ud-dev,3061,0,34,,1.0,,2.0,1.0,,,2.0,,1.0,,20,2.0,,4.0,1.0
orv_torot-ud-train,20480,0,203,,3.0,,2.0,1.0,,,24.0,4.0,,4.0,139,4.0,,11.0,11.0
ru_gsd-ud-test,601,0,2,,,,,,,,,,,,2,,,,
ru_gsd-ud-dev,579,0,4,,,,,,,,3.0,,,,1,,,,
ru_gsd-ud-train,3850,0,22,,,,,,,,9.0,,,,12,1.0,,,
bg_btb-ud-train,8907,0,106,2.0,26.0,,,1.0,2.0,9.0,15.0,,,,45,,,6.0,
bg_btb-ud-test,1116,0,17,,3.0,,,,,2.0,5.0,,,,7,,,,
bg_btb-ud-dev,1115,0,17,,5.0,,,,,2.0,4.0,,,,3,,,3.0,
