Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dep,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
pt_porttinari-ud-train,5893,0,131,,15.0,28.0,,,,16.0,,14.0,,57.0,,,1.0,
pt_porttinari-ud-test,1683,0,39,,5.0,7.0,,,,5.0,,2.0,,19.0,1.0,,,
pt_porttinari-ud-dev,842,0,12,,1.0,2.0,,,,1.0,,1.0,,6.0,,,1.0,
gl_treegal-ud-train,600,0,13,,4.0,1.0,,1.0,,1.0,,,,6.0,,,,
gl_treegal-ud-test,400,0,6,,1.0,4.0,,,,,,,,1.0,,,,
pt_petrogold-ud-train,7170,0,161,2.0,23.0,3.0,1.0,,,38.0,,2.0,,90.0,,,1.0,1.0
pt_petrogold-ud-test,1039,0,18,1.0,6.0,1.0,2.0,,,3.0,,,,5.0,,,,
pt_petrogold-ud-dev,737,0,13,,1.0,,,,,3.0,,,,9.0,,,,
pt_gsd-ud-dev,1204,0,1,,,1.0,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,6,,,1.0,,,,2.0,,,,3.0,,,,
pt_gsd-ud-train,9616,0,51,,,10.0,,,,11.0,,,,30.0,,,,
pt_cintil-ud-test,3840,0,35,,,,,,4.0,,,,,31.0,,,,
pt_cintil-ud-dev,3840,0,13,,,,,,1.0,,,,1.0,11.0,,,,
pt_cintil-ud-train,30720,0,42,,,,,,,,,,,39.0,,,3.0,
pt_bosque-ud-dev,1172,0,23,,,7.0,,,,3.0,,,1.0,11.0,,,1.0,
pt_bosque-ud-test,1167,0,24,,,3.0,,,,6.0,,,,14.0,,,1.0,
pt_bosque-ud-train,7018,0,138,,,23.0,,,,24.0,1.0,,,88.0,,,2.0,
gl_pud-ud-test,1000,0,7,,1.0,1.0,,,,,,,1.0,4.0,,,,
yrl_complin-ud-test,1470,0,7,,,1.0,,,,1.0,,,,4.0,,1.0,,
