Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,cop,dep,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
cs_pud-ud-test,1000,0,28,,,,,,,,,,,10.0,,,,18.0,,,,
hsb_ufal-ud-test,623,0,40,,,,,1.0,,,,,,32.0,,,1.0,6.0,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,2.0,,,,,,,,
cs_cltt-ud-dev,316,0,15,,,,,,,,,,,7.0,,,,8.0,,,,
cs_cltt-ud-train,467,0,3,,,,,,,,,,,1.0,,,,2.0,,,,
cs_cltt-ud-test,338,0,7,,,,,,,,,,,4.0,,,,3.0,,,,
cs_fictree-ud-dev,1309,0,21,,,,,,,,,,,,,,,21.0,,,,
cs_fictree-ud-train,10160,0,200,,,1.0,,2.0,,,,2.0,,16.0,,,,172.0,1.0,,6.0,
cs_fictree-ud-test,1291,0,20,,,,,,,,,,,2.0,,,,18.0,,,,
cs_pdt-ud-test,10146,0,212,1.0,1.0,,2.0,2.0,,,,6.0,,38.0,,4.0,1.0,147.0,,,10.0,
cs_pdt-ud-dev,9270,0,152,1.0,,2.0,2.0,1.0,,,,4.0,,17.0,,7.0,,117.0,,,,1.0
cs_pdt-ud-train,68491,0,1275,16.0,4.0,3.0,10.0,13.0,2.0,2.0,1.0,30.0,3.0,271.0,2.0,23.0,1.0,877.0,,3.0,13.0,1.0
cs_cac-ud-dev,603,0,6,,,,,,,,,,,1.0,,,,5.0,,,,
cs_cac-ud-train,23478,0,384,,2.0,1.0,2.0,7.0,,,,14.0,,71.0,,1.0,,281.0,,,5.0,
cs_cac-ud-test,628,0,14,,,,,,,,,,,4.0,,,,10.0,,,,
cs_poetry-ud-test,297,0,9,,,,,,,,,,,1.0,,,,8.0,,,,
