Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,cc,mark,nmod,nummod,obj,obl
en_partut-ud-dev,156,0,7,,2.0,2.0,,,,,,3.0
en_partut-ud-train,1781,0,47,,6.0,8.0,1.0,1.0,8.0,,,23.0
en_partut-ud-test,153,0,5,,2.0,,,,,,,3.0
en_atis-ud-test,586,0,4,,,,,,,,,4.0
en_atis-ud-train,4274,0,31,,,,,,7.0,2.0,1.0,21.0
en_atis-ud-dev,572,0,7,,,,,,7.0,,,
en_gum-ud-train,9521,0,128,1.0,,26.0,19.0,4.0,6.0,,,72.0
en_gum-ud-test,1285,0,21,,,5.0,4.0,1.0,2.0,,,9.0
en_gum-ud-dev,1341,0,12,,,1.0,,,2.0,,,9.0
en_lines-ud-train,3176,0,41,7.0,,6.0,,,27.0,1.0,,
en_lines-ud-dev,1032,0,9,,,1.0,,,7.0,,,1.0
en_lines-ud-test,1035,0,8,1.0,,1.0,1.0,,3.0,,,2.0
en_ewt-ud-test,2077,0,18,,,4.0,3.0,,1.0,,,10.0
en_ewt-ud-dev,2001,0,24,,,6.0,1.0,,,,,17.0
en_ewt-ud-train,12544,0,162,,9.0,33.0,14.0,,3.0,,,103.0
pcm_nsc-ud-train,7279,0,1,,,,,,,,,1.0
en_gentle-ud-test,1334,0,20,,,5.0,,,3.0,,,12.0
en_pud-ud-test,1000,0,24,,,7.0,2.0,1.0,1.0,,,13.0
