Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,nmod,nsubj,obl,orphan,parataxis,reparandum,root
frm_profiterole-ud-test,512,0,4,,,,,,,4.0,,,,
fr_pud-ud-test,1000,0,14,,,,,6.0,,7.0,1.0,,,
fr_fqb-ud-test,2289,0,17,,,,,1.0,,16.0,,,,
fr_gsd-ud-test,416,0,6,,,,1.0,1.0,,4.0,,,,
fr_gsd-ud-train,14450,0,307,,3.0,2.0,,57.0,1.0,237.0,,2.0,,5.0
fr_gsd-ud-dev,1476,0,33,,,,,7.0,,26.0,,,,
fr_rhapsodie-ud-train,1288,0,5,,,,,,,5.0,,,,
fr_rhapsodie-ud-dev,1081,0,3,,,,,,,3.0,,,,
fr_rhapsodie-ud-test,840,0,1,,,,,1.0,,,,,,
fr_parisstories-ud-dev,692,0,1,,,,,,,1.0,,,,
fr_parisstories-ud-train,1387,0,3,,,,,1.0,,1.0,,,1.0,
fr_partut-ud-dev,107,0,1,,,,,,,1.0,,,,
fr_partut-ud-test,110,0,1,,,,,,,1.0,,,,
fr_partut-ud-train,803,0,10,,,,,1.0,,9.0,,,,
fr_sequoia-ud-test,456,0,10,,,,,4.0,,6.0,,,,
fr_sequoia-ud-train,2231,0,40,1.0,1.0,,,14.0,,23.0,,,,1.0
fr_sequoia-ud-dev,412,0,7,,,,,3.0,,4.0,,,,
