Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,cc,ccomp,csubj,expl,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,punct,root,xcomp
uk_iu-ud-test,898,0,1,,,,,,,,,,,,,,1,,,,,
be_hse-ud-train,22853,0,8,,,,,,,,,,1.0,1.0,,,5,,,,1.0,
ru_taiga-ud-train,16045,0,570,,1.0,,,1.0,2.0,1.0,,,1.0,111.0,1.0,,405,3.0,36.0,,8.0,
ru_taiga-ud-dev,946,0,27,,,,,,,,,,,5.0,,1.0,15,1.0,5.0,,,
ru_taiga-ud-test,881,0,23,,,,,,,,,,,5.0,,,16,,2.0,,,
ru_syntagrus-ud-train,69630,0,5027,2.0,3.0,5.0,2.0,2.0,,,1.0,,1.0,1185.0,2.0,,3463,2.0,321.0,1.0,34.0,3.0
ru_syntagrus-ud-dev,8906,0,635,2.0,1.0,1.0,,,,,,,,178.0,,,405,,43.0,,5.0,
ru_syntagrus-ud-test,8800,0,697,1.0,,1.0,,,,1.0,,,,119.0,,,516,2.0,53.0,,4.0,
ru_poetry-ud-test,728,0,36,,,,,,,,,,,3.0,,,30,1.0,,,2.0,
ru_poetry-ud-dev,789,0,49,,,,,,,1.0,,,,10.0,,,30,,3.0,,5.0,
ru_poetry-ud-train,3569,0,148,,,,,,,1.0,,,1.0,11.0,,,127,3.0,2.0,,3.0,
ru_pud-ud-test,1000,0,96,,,,2.0,,,,,,,33.0,,,58,,3.0,,,
ru_gsd-ud-test,601,0,40,,,,,,,,,,,8.0,,,32,,,,,
ru_gsd-ud-dev,579,0,33,,,,,,,,,,,10.0,,,23,,,,,
ru_gsd-ud-train,3850,0,305,,,,1.0,,,,,5.0,,103.0,,,192,2.0,2.0,,,
