Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dep,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,parataxis,root
lt_hse-ud-train,153,0,16,,,,1.0,,,,,,8.0,,,,7.0,,
lt_hse-ud-test,55,0,4,,,,,,,,,,1.0,,,,3.0,,
lt_hse-ud-dev,55,0,8,,,,,,,,,,5.0,,,,2.0,1.0,
wo_wtb-ud-dev,449,0,1,,,,,,,,,,1.0,,,,,,
wo_wtb-ud-train,1188,0,1,,,,,,,,,,1.0,,,,,,
lt_alksnis-ud-test,684,0,41,,,1.0,3.0,,,,,,,,,,37.0,,
lt_alksnis-ud-dev,617,0,55,,,1.0,,,,,1.0,,1.0,1.0,,,51.0,,
lt_alksnis-ud-train,2341,0,227,,,3.0,,3.0,1.0,,,,5.0,,,,214.0,1.0,
it_old-ud-train,1748,0,75,1.0,2.0,,,,,,,,,,,1.0,71.0,,
it_old-ud-dev,316,0,17,,,,,,,,,,,,,,17.0,,
it_old-ud-test,338,0,18,,2.0,,,,,,,,1.0,,,,15.0,,
it_valico-ud-test,398,0,46,,,,,,,,,,3.0,,,,43.0,,
it_pud-ud-test,1000,0,106,,,,,1.0,,,,,50.0,,,,52.0,,3.0
it_isdt-ud-test,482,0,39,,,,,,,,,,14.0,,1.0,,23.0,,1.0
it_isdt-ud-train,13121,0,1100,,3.0,,,1.0,,,,,468.0,,3.0,,622.0,,3.0
it_isdt-ud-dev,564,0,55,,,,,,,,,,21.0,,2.0,,32.0,,
it_partut-ud-dev,156,0,22,,,,,,,,,,9.0,,,,13.0,,
it_partut-ud-test,153,0,7,,,,,,,,,,4.0,,,,3.0,,
it_partut-ud-train,1781,0,223,2.0,,,,1.0,,,,,122.0,,,,98.0,,
it_twittiro-ud-test,142,0,18,,,,,,,,,,10.0,,,,8.0,,
it_twittiro-ud-train,1138,0,158,,,,,1.0,1.0,,,1.0,62.0,,2.0,,91.0,,
it_twittiro-ud-dev,144,0,10,,,,,,,,,,3.0,,,,7.0,,
it_markit-ud-test,340,0,31,,1.0,,,,,1.0,,,9.0,,,,20.0,,
it_markit-ud-train,611,0,51,,,,,,,1.0,,,16.0,,,,34.0,,
it_markit-ud-dev,341,0,32,,,,,,,1.0,,,8.0,,,,23.0,,
it_postwita-ud-train,5368,0,495,1.0,,,,2.0,,,,,223.0,1.0,3.0,1.0,252.0,5.0,7.0
it_postwita-ud-dev,670,0,48,,,,,,,,,,31.0,,,,14.0,1.0,2.0
it_postwita-ud-test,674,0,56,,,,,1.0,,,,,37.0,,1.0,,17.0,,
it_vit-ud-train,8277,0,1112,3.0,1.0,,,1.0,,,,,506.0,,1.0,,586.0,1.0,13.0
it_vit-ud-test,1067,0,142,,1.0,,,,,,,,64.0,,2.0,,72.0,,3.0
it_vit-ud-dev,743,0,121,,,,,,,,,,51.0,,,,70.0,,
it_parlamint-ud-test,375,0,50,,,,,,,,,,19.0,,,,31.0,,
it_parlamint-ud-train,326,0,50,,1.0,,1.0,,,,,,13.0,,,,35.0,,
