Treebank,Number of Sentences,Failures,Total,appos,ccomp,dep,nmod,obl,orphan,parataxis,root
sl_ssj-ud-test,1282,0,37,,,,9.0,27,1.0,,
sl_ssj-ud-dev,1250,0,45,,,,11.0,32,1.0,,1.0
sl_ssj-ud-train,10903,0,286,6.0,,,59.0,216,5.0,,
hr_set-ud-dev,960,0,8,,,,1.0,6,,,1.0
hr_set-ud-train,6914,0,44,,1.0,,7.0,35,,1.0,
hr_set-ud-test,1136,0,4,,,,1.0,2,,,1.0
sk_snk-ud-dev,1060,0,11,1.0,,1.0,3.0,5,,,1.0
sk_snk-ud-test,1061,0,6,,,,1.0,5,,,
sk_snk-ud-train,8483,0,137,,,,23.0,113,,,1.0
sr_set-ud-test,520,0,2,,,,,2,,,
sr_set-ud-train,3328,0,21,,2.0,,3.0,15,,,1.0
sr_set-ud-dev,536,0,2,,,,,1,,,1.0
sl_sst-ud-train,4558,0,38,5.0,,,5.0,27,,,1.0
sl_sst-ud-test,1041,0,19,,,,1.0,17,,1.0,
sl_sst-ud-dev,505,0,9,1.0,,,3.0,5,,,
