Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,root,xcomp
el_gud-ud-train,1071,0,2,,,,,,,,,,,,2.0,,,
el_gud-ud-test,736,0,1,,1.0,,,,,,,,,,,,,
grc_perseus-ud-dev,1137,0,54,,1.0,,,,,,3.0,,,,48.0,,1.0,1.0
grc_perseus-ud-train,11476,0,345,,4.0,,1.0,,,,16.0,1.0,,,306.0,,14.0,3.0
grc_perseus-ud-test,1306,0,70,,,,,,,,11.0,,,,58.0,,1.0,
grc_proiel-ud-test,1047,0,21,1.0,,,,,,,1.0,1.0,,,18.0,,,
grc_proiel-ud-train,15016,0,314,,8.0,5.0,6.0,1.0,,,19.0,2.0,1.0,4.0,257.0,5.0,4.0,2.0
grc_proiel-ud-dev,1019,0,28,1.0,,,,,1.0,,2.0,,,1.0,22.0,,1.0,
grc_ptnk-ud-train,727,0,31,2.0,,,,,,1.0,1.0,,,,25.0,,2.0,
grc_ptnk-ud-dev,439,0,2,,,,,,,,,,,,2.0,,,
grc_ptnk-ud-test,410,0,20,2.0,,,,,,1.0,1.0,,,,16.0,,,
el_gdt-ud-test,456,0,5,,,,,1.0,,,,,,,4.0,,,
el_gdt-ud-train,1662,0,9,,,,,,,,,,,,9.0,,,
el_gdt-ud-dev,403,0,1,,,,,,,,1.0,,,,,,,
