Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,ccomp,dep,expl,mark,nmod,nummod,obj,obl,orphan,punct,root,xcomp
es_gsd-ud-test,426,0,10,,,,,,,,,,,10.0,,,,
es_gsd-ud-dev,1400,0,48,,,,,,,,6.0,,,42.0,,,,
es_gsd-ud-train,14187,0,424,,,,,,,,65.0,,,358.0,,,1.0,
pt_porttinari-ud-train,5893,0,61,2.0,,,,,,,9.0,,,50.0,,,,
pt_porttinari-ud-test,1683,0,17,,,,,,,,4.0,,,13.0,,,,
pt_porttinari-ud-dev,842,0,7,,,,,,,,,,,7.0,,,,
es_ancora-ud-train,14287,0,307,,6.0,,,,1.0,,22.0,11.0,,264.0,,1.0,2.0,
es_ancora-ud-test,1721,0,35,,,,,,,,3.0,2.0,,30.0,,,,
es_ancora-ud-dev,1654,0,27,,,,,,,1.0,4.0,,,21.0,,,,1.0
gl_treegal-ud-train,600,0,4,,,,,,,,1.0,,,3.0,,,,
gl_treegal-ud-test,400,0,5,,,,,,,,2.0,,,3.0,,,,
gl_ctg-ud-dev,860,0,17,,,,,,,,3.0,,,14.0,,,,
gl_ctg-ud-test,861,0,16,,,,1.0,,,,4.0,,,11.0,,,,
gl_ctg-ud-train,2272,0,54,,,,,,,,6.0,,,47.0,,,1.0,
pt_petrogold-ud-train,7170,0,109,,,,,,,,5.0,,,104.0,,,,
pt_petrogold-ud-test,1039,0,31,,,,,,,,3.0,,,28.0,,,,
pt_petrogold-ud-dev,737,0,14,,,,,,,,2.0,,,12.0,,,,
pt_gsd-ud-dev,1204,0,3,,,,,,,,1.0,,,2.0,,,,
pt_gsd-ud-test,1200,0,8,,,,,,,,2.0,,,6.0,,,,
pt_gsd-ud-train,9616,0,33,,,,,,,,5.0,,,28.0,,,,
es_pud-ud-test,1000,0,42,,,,,,,,6.0,,,36.0,,,,
it_valico-ud-test,398,0,2,,,,,,,,1.0,,,,,,1.0,
it_pud-ud-test,1000,0,38,,,,,,,,7.0,,,31.0,,,,
pt_cintil-ud-test,3840,0,56,,,,,1.0,,,,,,54.0,,,1.0,
pt_cintil-ud-dev,3840,0,46,,,,,,,,,,,46.0,,,,
pt_cintil-ud-train,30720,0,204,,,,,1.0,,,,,,200.0,,,3.0,
it_isdt-ud-test,482,0,2,,,,,,,,,,,2.0,,,,
it_isdt-ud-train,13121,0,125,,,,,,,,13.0,,,112.0,,,,
it_isdt-ud-dev,564,0,4,,,,,,,,1.0,,,3.0,,,,
pt_bosque-ud-dev,1172,0,13,,,,,,,,1.0,,,12.0,,,,
pt_bosque-ud-test,1167,0,15,,,,,,,,1.0,,,14.0,,,,
pt_bosque-ud-train,7018,0,90,,,,,,,,12.0,,,77.0,,,1.0,
it_partut-ud-test,153,0,2,,,,,,,,,,,2.0,,,,
it_partut-ud-train,1781,0,25,,,,,,,,1.0,,,24.0,,,,
it_twittiro-ud-test,142,0,1,,,,,,,,,,,,1.0,,,
it_twittiro-ud-train,1138,0,5,,,,,,,,,,,5.0,,,,
it_markit-ud-test,340,0,2,,,,,,,,,,,2.0,,,,
it_markit-ud-train,611,0,8,,,,,,,,1.0,,1.0,6.0,,,,
it_markit-ud-dev,341,0,2,,,,,,,,,,,2.0,,,,
gl_pud-ud-test,1000,0,29,,,1.0,,,,,3.0,,,25.0,,,,
it_postwita-ud-train,5368,0,8,,,,,,,,2.0,,,6.0,,,,
it_postwita-ud-dev,670,0,1,,,,,,,,1.0,,,,,,,
it_vit-ud-train,8277,0,46,,,,,,,,6.0,,,40.0,,,,
it_vit-ud-test,1067,0,2,,,,,,,,,,,2.0,,,,
it_vit-ud-dev,743,0,6,,,,,,,,,,,6.0,,,,
it_parlamint-ud-test,375,0,4,,,,,,,,,,,4.0,,,,
it_parlamint-ud-train,326,0,5,,,,,,,,,,,5.0,,,,
