Treebank,Number of Sentences,Failures,Total,advcl,ccomp,dep,nmod,obl,orphan,reparandum,root
fr_pud-ud-test,1000,0,14,,,,4.0,10.0,,,
fr_fqb-ud-test,2289,0,3,,,,1.0,2.0,,,
fr_gsd-ud-test,416,0,6,,,,2.0,4.0,,,
fr_gsd-ud-train,14450,0,141,4.0,,,36.0,99.0,1.0,,1.0
fr_gsd-ud-dev,1476,0,13,,1.0,,8.0,4.0,,,
fr_rhapsodie-ud-train,1288,0,2,,,,,2.0,,,
fr_rhapsodie-ud-dev,1081,0,2,,,,,2.0,,,
fr_rhapsodie-ud-test,840,0,6,,,,,6.0,,,
fr_parisstories-ud-dev,692,0,6,,,,,5.0,,1.0,
fr_parisstories-ud-train,1387,0,23,,,,1.0,21.0,,,1.0
fr_parisstories-ud-test,697,0,5,,,,,5.0,,,
qaf_arabizi-ud-train,1003,0,14,,,,4.0,10.0,,,
qaf_arabizi-ud-test,145,0,2,,,,2.0,,,,
qaf_arabizi-ud-dev,139,0,1,,,,,1.0,,,
fr_partut-ud-test,110,0,1,,,,1.0,,,,
fr_partut-ud-train,803,0,4,,,,1.0,3.0,,,
fr_sequoia-ud-test,456,0,22,,,1.0,8.0,13.0,,,
fr_sequoia-ud-train,2231,0,110,,,2.0,21.0,83.0,2.0,,2.0
fr_sequoia-ud-dev,412,0,34,,,,4.0,29.0,,,1.0
