Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,nmod,nsubj,nummod,obj,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,3,,,,,,,,3.0,,,
la_perseus-ud-test,939,0,4,,,,,,,,4.0,,,
la_perseus-ud-train,1334,0,1,,,,,,,,1.0,,,
la_llct-ud-train,7289,0,6,,,,5.0,,,,1.0,,,
it_pud-ud-test,1000,0,4,,,,3.0,,,,1.0,,,
la_proiel-ud-test,1260,0,1,,,,,,,,,,1.0,
la_proiel-ud-dev,1233,0,5,,,2.0,,,,,2.0,,1.0,
la_proiel-ud-train,16196,0,43,2.0,,1.0,3.0,3.0,,3.0,27.0,1.0,2.0,1.0
en_gum-ud-train,9521,0,1,,,,1.0,,,,,,,
it_isdt-ud-train,13121,0,4,,,,,,1.0,,3.0,,,
it_isdt-ud-dev,564,0,1,,,,1.0,,,,,,,
en_ewt-ud-train,12544,0,1,,,,,,,,1.0,,,
la_udante-ud-train,926,0,10,,,,1.0,,,,9.0,,,
la_udante-ud-test,419,0,22,,,,,,,,19.0,3.0,,
la_udante-ud-dev,376,0,4,,,,,,,,4.0,,,
it_postwita-ud-dev,670,0,1,,,,1.0,,,,,,,
la_ittb-ud-dev,2101,0,7,,,,,,,,7.0,,,
la_ittb-ud-test,2101,0,27,6.0,4.0,,3.0,,,,12.0,,2.0,
la_ittb-ud-train,22775,0,187,17.0,2.0,,45.0,,,,116.0,2.0,5.0,
it_vit-ud-train,8277,0,1,,,,,,,,1.0,,,
it_parlamint-ud-train,326,0,1,,,,,,,,1.0,,,
