Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,csubj,discourse,flat,iobj,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
tr_pud-ud-test,1000,0,34,,4.0,,,,,,1.0,,5.0,,,,23.0,,,1.0
tr_atis-ud-dev,572,0,4,,,2.0,,,,,,,,,,1.0,,,1.0,
tr_atis-ud-train,4274,0,87,,,18.0,,,,,,,1.0,,,1.0,9.0,,58.0,
tr_atis-ud-test,586,0,10,,,4.0,,,,,,,1.0,,,,,,5.0,
tr_kenet-ud-dev,1646,0,59,1.0,18.0,12.0,,,,,,,5.0,,,1.0,21.0,,1.0,
tr_kenet-ud-test,1643,0,60,1.0,21.0,5.0,3.0,2.0,,,,,1.0,1.0,,1.0,20.0,1.0,2.0,2.0
tr_kenet-ud-train,15398,0,385,5.0,55.0,69.0,8.0,5.0,,1.0,,,44.0,5.0,1.0,10.0,169.0,2.0,10.0,1.0
tr_framenet-ud-test,205,0,3,,,,,,,,,,2.0,,,,1.0,,,
tr_framenet-ud-train,2288,0,27,1.0,10.0,4.0,,,,,,,5.0,,,1.0,4.0,1.0,1.0,
tr_framenet-ud-dev,205,0,2,,2.0,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,84,,9.0,,,,,1.0,,,27.0,,1.0,2.0,41.0,,3.0,
ota_boun-ud-train,114,0,8,,1.0,2.0,,,,,,,,,,,4.0,,1.0,
ota_boun-ud-test,400,0,39,,7.0,8.0,,,,,,,,,,,24.0,,,
qtd_sagt-ud-test,805,0,18,,1.0,,2.0,,1.0,,,,5.0,,,,7.0,1.0,1.0,
qtd_sagt-ud-dev,801,0,10,,,,,,,,,,2.0,,,,7.0,1.0,,
qtd_sagt-ud-train,578,0,10,,1.0,,,,,,,,2.0,,,,7.0,,,
tr_tourism-ud-train,15473,0,32,,6.0,6.0,,,,,,,16.0,,,,3.0,,1.0,
tr_tourism-ud-dev,2166,0,3,,1.0,1.0,,,,,,,,,,,,,1.0,
tr_tourism-ud-test,2191,0,1,,1.0,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,87,10.0,11.0,10.0,,,,,,2.0,9.0,1.0,2.0,1.0,38.0,,3.0,
tr_imst-ud-dev,1100,0,24,2.0,2.0,7.0,,,,,,,5.0,,1.0,,7.0,,,
tr_imst-ud-test,1100,0,19,1.0,5.0,,,,,,,,1.0,,,,10.0,,2.0,
tr_boun-ud-dev,979,0,21,1.0,5.0,1.0,,,,,,,,,,,14.0,,,
tr_boun-ud-test,979,0,21,1.0,4.0,2.0,,1.0,,,,,2.0,,,,9.0,,2.0,
tr_boun-ud-train,7803,0,186,5.0,36.0,29.0,,,,,,,11.0,,1.0,3.0,94.0,,7.0,
tr_penn-ud-dev,622,0,15,,2.0,1.0,,,,,,,8.0,,,,4.0,,,
tr_penn-ud-test,924,0,20,,1.0,1.0,,,,,,,5.0,,,2.0,9.0,,2.0,
tr_penn-ud-train,14850,0,319,4.0,37.0,49.0,5.0,,,,1.0,,109.0,,5.0,2.0,99.0,1.0,7.0,
