Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,discourse,dislocated,nmod,obj,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,,,1.0,,,,
en_partut-ud-train,1781,0,27,,,1.0,,1.0,,,,,18.0,,6.0,,,1.0,
en_atis-ud-train,4274,0,87,,,,,,,,,,,,,,,87.0,
en_gum-ud-train,9521,0,211,5.0,4.0,,,4.0,,,,,77.0,,68.0,9.0,2.0,40.0,2.0
en_gum-ud-test,1285,0,20,1.0,,,,,,,,,7.0,,12.0,,,,
en_gum-ud-dev,1341,0,26,,,,,,,,,,10.0,,13.0,2.0,,1.0,
en_lines-ud-train,3176,0,99,3.0,4.0,,1.0,,,,,5.0,17.0,,69.0,,,,
en_lines-ud-dev,1032,0,41,,2.0,,,,,,,2.0,15.0,,21.0,,,1.0,
en_lines-ud-test,1035,0,22,,,1.0,,3.0,,,,,6.0,,12.0,,,,
en_ewt-ud-test,2077,0,22,1.0,,,,,,,,,12.0,,7.0,,,2.0,
en_ewt-ud-dev,2001,0,30,,,,,,,,,,16.0,,14.0,,,,
en_ewt-ud-train,12544,0,159,3.0,,,1.0,3.0,,,,,68.0,,70.0,3.0,,11.0,
pcm_nsc-ud-dev,990,0,60,,7.0,,,2.0,,,,,15.0,2.0,21.0,2.0,,7.0,4.0
pcm_nsc-ud-train,7279,0,317,6.0,20.0,3.0,1.0,8.0,2.0,3.0,,2.0,35.0,6.0,128.0,11.0,6.0,81.0,5.0
pcm_nsc-ud-test,972,0,46,,6.0,,,,,,1.0,3.0,3.0,6.0,18.0,,,7.0,2.0
en_gentle-ud-test,1334,0,9,,,,,,,,,,2.0,,4.0,1.0,,1.0,1.0
en_pud-ud-test,1000,0,16,,,,,,,,,,8.0,,6.0,,,2.0,
