Treebank,Number of Sentences,Failures,Total,advmod,nmod,obl,parataxis,root
es_gsd-ud-test,426,0,2,,1.0,1.0,,
es_gsd-ud-dev,1400,0,9,,2.0,7.0,,
es_gsd-ud-train,14187,0,61,,6.0,54.0,,1.0
pt_porttinari-ud-dev,842,0,1,,,1.0,,
es_ancora-ud-train,14287,0,32,,3.0,27.0,1.0,1.0
es_ancora-ud-test,1721,0,3,,,2.0,,1.0
es_ancora-ud-dev,1654,0,4,1.0,,3.0,,
gl_treegal-ud-train,600,0,2,,,1.0,,1.0
gl_ctg-ud-dev,860,0,14,,,13.0,,1.0
gl_ctg-ud-test,861,0,18,,3.0,15.0,,
gl_ctg-ud-train,2272,0,27,,4.0,22.0,,1.0
pt_petrogold-ud-train,7170,0,5,,,5.0,,
pt_petrogold-ud-dev,737,0,1,,,,,1.0
es_pud-ud-test,1000,0,8,,1.0,7.0,,
pt_cintil-ud-test,3840,0,2,,,2.0,,
pt_cintil-ud-dev,3840,0,2,,,2.0,,
pt_cintil-ud-train,30720,0,5,,,5.0,,
it_isdt-ud-test,482,0,1,,1.0,,,
it_isdt-ud-train,13121,0,27,,4.0,23.0,,
it_isdt-ud-dev,564,0,1,,,1.0,,
pt_bosque-ud-test,1167,0,1,,1.0,,,
pt_bosque-ud-train,7018,0,3,,1.0,2.0,,
it_partut-ud-dev,156,0,1,,,1.0,,
it_partut-ud-train,1781,0,3,,2.0,1.0,,
it_markit-ud-train,611,0,3,,1.0,2.0,,
gl_pud-ud-test,1000,0,6,,1.0,5.0,,
it_vit-ud-train,8277,0,25,,12.0,13.0,,
it_vit-ud-dev,743,0,3,,,3.0,,
it_parlamint-ud-test,375,0,1,,,1.0,,
it_parlamint-ud-train,326,0,3,,,3.0,,
