Treebank,Number of Sentences,Failures,Total,acl,advmod,dep,nmod,nsubj,obl,parataxis,root
en_partut-ud-train,1781,0,3,,,,1.0,,2.0,,
en_gum-ud-train,9521,0,12,,1.0,,2.0,,8.0,1.0,
en_gum-ud-dev,1341,0,1,,,,,,1.0,,
en_lines-ud-train,3176,0,6,,,,3.0,,3.0,,
en_lines-ud-dev,1032,0,2,,,,,,2.0,,
en_lines-ud-test,1035,0,3,,,,1.0,,2.0,,
en_ewt-ud-test,2077,0,2,,,,,,1.0,,1.0
en_ewt-ud-train,12544,0,15,,,,7.0,,6.0,,2.0
pcm_nsc-ud-train,7279,0,2,,,,,1.0,,,1.0
pcm_nsc-ud-test,972,0,2,1.0,,,,,1.0,,
en_gentle-ud-test,1334,0,10,,,3.0,3.0,,4.0,,
en_pud-ud-test,1000,0,5,1.0,,,3.0,,1.0,,
