Treebank,Number of Sentences,Failures,Total,acl,compound,nmod,obj,obl,parataxis,root,xcomp
en_partut-ud-dev,156,0,1,,,1.0,,,,,
en_partut-ud-train,1781,0,17,,,5.0,,11.0,,1.0,
en_partut-ud-test,153,0,1,,,1.0,,,,,
en_gum-ud-train,9521,0,36,,,19.0,,14.0,,3.0,
en_gum-ud-test,1285,0,6,,,4.0,,2.0,,,
en_gum-ud-dev,1341,0,5,,,3.0,,2.0,,,
en_lines-ud-train,3176,0,17,,1.0,6.0,2.0,8.0,,,
en_lines-ud-dev,1032,0,3,,,2.0,,1.0,,,
en_ewt-ud-test,2077,0,7,,,3.0,,3.0,,1.0,
en_ewt-ud-dev,2001,0,4,1.0,,,,1.0,,2.0,
en_ewt-ud-train,12544,0,29,1.0,,13.0,,7.0,,8.0,
pcm_nsc-ud-train,7279,0,3,,,,,1.0,1.0,,1.0
en_pud-ud-test,1000,0,7,,,2.0,,5.0,,,
