Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dep,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
is_pud-ud-test,1000,0,387,4.0,4.0,2.0,1.0,6.0,1.0,,,,1.0,179.0,1.0,1.0,1.0,169.0,,13.0,4.0
say_autogramm-ud-test,1864,0,14,,,,,1.0,,,1.0,,,5.0,,,,5.0,,1.0,1.0
fo_oft-ud-test,1208,0,111,,1.0,,,1.0,,,,2.0,,30.0,,,1.0,52.0,,24.0,
is_gc-ud-test,540,0,213,,,9.0,,1.0,,,,,,,,,,203.0,,,
is_gc-ud-train,3960,0,1666,3.0,1.0,134.0,,,,2.0,,,,,1.0,,,1512.0,,12.0,1.0
is_gc-ud-dev,500,0,203,1.0,,20.0,,,,,,,,,,,,178.0,,2.0,2.0
is_icepahc-ud-dev,4865,0,1673,50.0,50.0,1.0,,14.0,,2.0,,,,,,,1.0,1500.0,2.0,53.0,
is_icepahc-ud-train,34007,0,9179,179.0,262.0,9.0,4.0,101.0,1.0,3.0,,,,,3.0,,7.0,8275.0,10.0,313.0,12.0
is_icepahc-ud-test,5157,0,1677,48.0,48.0,1.0,,21.0,,,,,,,3.0,,2.0,1483.0,2.0,64.0,5.0
is_modern-ud-dev,394,0,133,3.0,1.0,,,1.0,,,,,,,,,1.0,121.0,1.0,5.0,
is_modern-ud-train,2703,0,1184,42.0,18.0,2.0,,29.0,,1.0,,,,,,,5.0,1044.0,2.0,40.0,1.0
is_modern-ud-test,438,0,224,6.0,4.0,,,3.0,,,,,,,,,2.0,203.0,2.0,4.0,
de_gsd-ud-train,13814,0,1,,,,,,,,,,,1.0,,,,,,,
