Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,cop,dep,dislocated,flat,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
de_hdt-ud-test,18459,0,1905,1.0,,,1.0,1.0,,,,,441.0,,,78.0,1032.0,,10.0,,330.0,11.0
de_hdt-ud-train,153035,0,17383,8.0,5.0,13.0,,16.0,,,,,4446.0,,,707.0,9433.0,,146.0,,2429.0,180.0
de_hdt-ud-dev,18434,0,1954,1.0,1.0,,,,,,,,452.0,,,70.0,1073.0,1.0,11.0,,323.0,22.0
qpm_philotis-ud-test,635,0,1,,,,,,,,,,,,,1.0,,,,,,
de_pud-ud-test,1000,0,114,,,,,,,,,,36.0,,,,76.0,,,,2.0,
nds_lsdc-ud-train,500,0,66,,1.0,,,3.0,,,1.0,,2.0,,1.0,,44.0,,3.0,,10.0,1.0
nds_lsdc-ud-test,500,0,66,2.0,,10.0,,,,,,,5.0,,,,36.0,,4.0,,8.0,1.0
ht_autogramm-ud-test,144,0,18,1.0,,,,1.0,,,,,3.0,,,,13.0,,,,,
de_lit-ud-test,1920,0,153,,1.0,7.0,,1.0,,,,,43.0,1.0,,1.0,80.0,1.0,4.0,,13.0,1.0
gd_arcosg-ud-test,545,0,234,1.0,1.0,,,2.0,14.0,,,,36.0,,,,112.0,,,2.0,3.0,63.0
gd_arcosg-ud-train,3541,0,1716,36.0,4.0,,,4.0,108.0,1.0,,,248.0,,,,668.0,,4.0,4.0,37.0,602.0
gd_arcosg-ud-dev,655,0,261,3.0,1.0,,1.0,1.0,19.0,,,,60.0,,,,102.0,,2.0,4.0,5.0,63.0
de_gsd-ud-train,13814,0,1578,,1.0,2.0,1.0,,,1.0,,2.0,553.0,,,,862.0,,4.0,,152.0,
de_gsd-ud-dev,799,0,79,,,,,,,,,,24.0,,,,47.0,,1.0,,7.0,
de_gsd-ud-test,977,0,135,,,,,1.0,,1.0,,,40.0,,,,84.0,,,,9.0,
qtd_sagt-ud-test,805,0,19,,1.0,,,2.0,,,,,1.0,,,,10.0,1.0,3.0,,1.0,
qtd_sagt-ud-dev,801,0,18,,,,,3.0,,,,,2.0,,,,9.0,,1.0,,3.0,
qtd_sagt-ud-train,578,0,19,,,,,,,,,,,,,1.0,15.0,,2.0,1.0,,
