Treebank,Number of Sentences,Failures,Total,advmod,nmod,nummod,obl,orphan,parataxis,root
it_old-ud-train,1748,0,66,1.0,1.0,,63,1.0,,
it_old-ud-dev,316,0,17,,,,17,,,
it_old-ud-test,338,0,9,,,,7,2.0,,
it_valico-ud-test,398,0,2,,,,2,,,
it_pud-ud-test,1000,0,10,,5.0,,5,,,
it_isdt-ud-test,482,0,4,,2.0,,2,,,
it_isdt-ud-train,13121,0,84,,32.0,5.0,47,,,
it_isdt-ud-dev,564,0,6,,1.0,,5,,,
lij_glt-ud-test,296,0,1,,,,1,,,
it_partut-ud-dev,156,0,2,,1.0,,1,,,
it_partut-ud-train,1781,0,13,,8.0,,5,,,
it_twittiro-ud-train,1138,0,6,,2.0,,4,,,
it_twittiro-ud-dev,144,0,1,,,,1,,,
it_markit-ud-test,340,0,6,,3.0,,3,,,
it_markit-ud-train,611,0,9,,4.0,,5,,,
it_markit-ud-dev,341,0,3,,1.0,,2,,,
it_postwita-ud-train,5368,0,27,,10.0,,12,,2.0,3.0
it_postwita-ud-dev,670,0,4,,,,4,,,
it_postwita-ud-test,674,0,4,,3.0,,1,,,
it_vit-ud-train,8277,0,92,,45.0,1.0,46,,,
it_vit-ud-test,1067,0,2,,1.0,,1,,,
it_parlamint-ud-test,375,0,5,,2.0,,3,,,
it_parlamint-ud-train,326,0,4,,,,4,,,
