Treebank,Number of Sentences,Failures,Total,acl,advcl,nmod,nsubj,obj,obl,xcomp
tr_pud-ud-test,1000,0,4,1.0,,2.0,,,,1.0
tr_kenet-ud-test,1643,0,1,,,,,,1.0,
tr_kenet-ud-train,15398,0,12,5.0,1.0,2.0,,,4.0,
tr_framenet-ud-train,2288,0,1,,1.0,,,,,
ota_boun-ud-test,400,0,1,,,,,,1.0,
tr_imst-ud-train,3435,0,0,,,,,,,
tr_imst-ud-test,1100,0,4,,,1.0,,2.0,1.0,
tr_boun-ud-test,979,0,2,,,1.0,1.0,,,
tr_boun-ud-train,7803,0,4,3.0,,,1.0,,,
tr_penn-ud-dev,622,0,2,,,2.0,,,,
tr_penn-ud-test,924,0,2,,,,1.0,,1.0,
tr_penn-ud-train,14850,0,28,6.0,1.0,15.0,2.0,,4.0,
