Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,ccomp,compound,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
fa_seraji-ud-dev,599,0,25,8.0,,,,,8.0,,,,9.0,,,
fa_seraji-ud-test,600,0,26,6.0,,,,,13.0,,,,7.0,,,
fa_seraji-ud-train,4798,0,239,64.0,,1.0,,,82.0,,,,91.0,1.0,,
nyq_aha-ud-test,10,0,2,2.0,,,,,,,,,,,,
fa_perdt-ud-test,1455,0,28,,,,,,2.0,,1.0,,25.0,,,
fa_perdt-ud-train,26196,0,782,3.0,9.0,,1.0,1.0,43.0,1.0,67.0,6.0,647.0,,1.0,3.0
fa_perdt-ud-dev,1456,0,41,1.0,,,,,3.0,,1.0,,35.0,,1.0,
kfm_aha-ud-test,10,0,2,2.0,,,,,,,,,,,,
soj_aha-ud-test,8,0,2,2.0,,,,,,,,,,,,
ug_udt-ud-dev,900,0,2,,2.0,,,,,,,,,,,
ug_udt-ud-train,1656,0,3,,2.0,,,,,,,,1.0,,,
ur_udtb-ud-train,4043,0,15,,,,,,1.0,,5.0,,9.0,,,
ur_udtb-ud-dev,552,0,3,,,,,,,,3.0,,,,,
ur_udtb-ud-test,535,0,7,,,,,,2.0,,3.0,,2.0,,,
