Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,discourse,dislocated,flat,iobj,mark,nmod,nummod,obj,obl,orphan,parataxis,root,xcomp
xav_xdt-ud-test,171,0,15,,12.0,,,,,,,,,,,,,,2.0,,,,1.0
de_hdt-ud-test,18459,0,4,,,,,,,,,,,,,,,,,,,4.0,
de_hdt-ud-train,153035,0,54,,,,,2.0,,,,,,,,,,,,,,52.0,
de_hdt-ud-dev,18434,0,4,,,,,,,,,,,,,,,,,,,4.0,
qpm_philotis-ud-train,980,0,25,,3.0,3.0,,1.0,,,,,,,,2.0,2.0,1.0,12.0,,,1.0,
qpm_philotis-ud-dev,635,0,22,,1.0,,,1.0,,,,,,4.0,,4.0,2.0,,7.0,,,3.0,
qpm_philotis-ud-test,635,0,9,,1.0,,,,,,,,,,,1.0,,,5.0,,,2.0,
it_old-ud-train,1748,0,395,3.0,18.0,7.0,,4.0,,,,,10.0,,,15.0,,,329.0,3.0,3.0,2.0,1.0
it_old-ud-dev,316,0,88,1.0,3.0,2.0,,2.0,,,,,4.0,,,7.0,,,68.0,1.0,,,
it_old-ud-test,338,0,97,1.0,2.0,,,,,,,,,,,4.0,,,86.0,3.0,,1.0,
la_llct-ud-dev,850,0,21,,,14.0,,,,,,,,,,1.0,,,5.0,,,,1.0
la_llct-ud-test,884,0,21,1.0,,12.0,,,,,,,,,,2.0,,,6.0,,,,
la_llct-ud-train,7289,0,187,9.0,1.0,41.0,,,,,,,,,11.0,28.0,,,92.0,,,,5.0
it_valico-ud-test,398,0,22,1.0,,1.0,,,,,,,,,,2.0,,,17.0,,,,1.0
gv_cadhan-ud-test,1164,0,124,,,,,,,,,,,,,7.0,,1.0,116.0,,,,
gv_cadhan-ud-train,1172,0,124,,,,,,,,,,,,,7.0,,,116.0,,,,1.0
it_pud-ud-test,1000,0,214,1.0,3.0,3.0,,1.0,,,,,,,,27.0,,,176.0,,,,3.0
br_keb-ud-test,884,0,237,8.0,50.0,,2.0,1.0,,1.0,,,,,,15.0,,,139.0,,1.0,5.0,15.0
fr_gsd-ud-train,14450,0,1,,,,,,,,,,,,,1.0,,,,,,,
it_isdt-ud-test,482,0,106,1.0,2.0,2.0,,,,,,,,,,12.0,,,87.0,,,,2.0
it_isdt-ud-train,13121,0,2757,103.0,54.0,52.0,,19.0,,,,,,,1.0,375.0,40.0,1.0,2079.0,,,21.0,12.0
it_isdt-ud-dev,564,0,143,6.0,3.0,4.0,,1.0,,,,,,,,22.0,,,106.0,,,1.0,
pt_bosque-ud-dev,1172,0,1,,,,,,,,,,1.0,,,,,,,,,,
pt_bosque-ud-train,7018,0,2,,,,,1.0,,,,,,,,1.0,,,,,,,
lij_glt-ud-test,296,0,69,4.0,2.0,2.0,,3.0,,,,,,,,4.0,,1.0,45.0,,,,8.0
lij_glt-ud-train,20,0,2,,,,,,,,,,,,,1.0,,,1.0,,,,
it_partut-ud-dev,156,0,25,1.0,2.0,,,,,,,,,,,4.0,,,18.0,,,,
it_partut-ud-test,153,0,34,,1.0,,,,,,,,,,,3.0,,,30.0,,,,
it_partut-ud-train,1781,0,419,20.0,14.0,3.0,,1.0,,,,,,,,72.0,,,306.0,,,1.0,2.0
ca_ancora-ud-dev,1709,0,1,,,,,,,,,,,,,1.0,,,,,,,
ca_ancora-ud-test,1846,0,1,,,,,,,,,,1.0,,,,,,,,,,
ca_ancora-ud-train,13123,0,1,,,,,,,,,,1.0,,,,,,,,,,
gd_arcosg-ud-train,3541,0,2,,,,,,,,,,,,,1.0,,,1.0,,,,
it_twittiro-ud-test,142,0,13,1.0,,,,,,,,,,,,4.0,,,8.0,,,,
it_twittiro-ud-train,1138,0,156,6.0,3.0,5.0,,1.0,,,1.0,,,,1.0,26.0,1.0,1.0,102.0,,3.0,4.0,2.0
it_twittiro-ud-dev,144,0,12,,,2.0,,,,,,,,,,2.0,,,8.0,,,,
it_markit-ud-test,340,0,84,5.0,3.0,1.0,,2.0,,,,,,,,14.0,,,56.0,,,,3.0
it_markit-ud-train,611,0,176,12.0,7.0,6.0,,5.0,1.0,,,1.0,,,,16.0,,,124.0,,1.0,3.0,
it_markit-ud-dev,341,0,81,1.0,1.0,1.0,,3.0,1.0,,,1.0,,,,13.0,,,59.0,,,,1.0
it_postwita-ud-train,5368,0,591,30.0,20.0,14.0,1.0,12.0,1.0,,1.0,,,,,125.0,3.0,1.0,359.0,,9.0,7.0,8.0
it_postwita-ud-dev,670,0,60,2.0,2.0,2.0,,,,,,,,,,5.0,,,48.0,,1.0,,
it_postwita-ud-test,674,0,64,1.0,1.0,2.0,,2.0,,,,,,,,10.0,,,43.0,,3.0,1.0,1.0
it_vit-ud-train,8277,0,2363,94.0,36.0,43.0,,26.0,,,,,,,,391.0,30.0,,1729.0,,,14.0,
it_vit-ud-test,1067,0,235,12.0,,7.0,,8.0,,,,,,,,40.0,,,166.0,,,2.0,
it_vit-ud-dev,743,0,322,19.0,7.0,5.0,,2.0,,,,,,,,47.0,1.0,,240.0,,,1.0,
qtd_sagt-ud-test,805,0,1,,,,,,,,,,,,,,,,,,,1.0,
it_parlamint-ud-test,375,0,70,4.0,2.0,,,1.0,,,,,,,,5.0,,,57.0,,,1.0,
it_parlamint-ud-train,326,0,84,6.0,2.0,3.0,,,,,,,,,,7.0,,,66.0,,,,
tr_boun-ud-train,7803,0,0,,,,,,,,,,,,,,,,,,,,
