Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,flat,nmod,nsubj,obj,obl,orphan,root,xcomp
en_partut-ud-train,1781,0,1,,,,,,,,1.0,,,,,,
es_ancora-ud-train,14287,0,1,,,,,,,,1.0,,,,,,
wo_wtb-ud-dev,449,0,3,,,,,,,,2.0,,,1.0,,,
wo_wtb-ud-train,1188,0,1,,,,,,,,1.0,,,,,,
it_valico-ud-test,398,0,1,,,,,,,,,,,,,,1.0
fr_fqb-ud-test,2289,0,3,,,,,,,,,,3.0,,,,
it_isdt-ud-train,13121,0,2,,,,,,,,2.0,,,,,,
fr_parisstories-ud-dev,692,0,1,,,,,,,,,,,,,1.0,
de_lit-ud-test,1920,0,0,,,,,,,,,,,,,,
qaf_arabizi-ud-train,1003,0,17,,,1.0,,,,,15.0,,,1.0,,,
qaf_arabizi-ud-test,145,0,3,,,,,,,,3.0,,,,,,
qaf_arabizi-ud-dev,139,0,2,,,,,,,,1.0,,,1.0,,,
it_partut-ud-train,1781,0,2,,,,,,,,2.0,,,,,,
got_proiel-ud-dev,985,0,140,,11.0,1.0,2.0,,,,3.0,,,112.0,1.0,3.0,7.0
got_proiel-ud-train,3387,0,563,5.0,34.0,5.0,2.0,6.0,1.0,,21.0,18.0,1.0,435.0,9.0,4.0,22.0
got_proiel-ud-test,1029,0,188,1.0,10.0,,1.0,3.0,,,3.0,,1.0,156.0,2.0,3.0,8.0
cs_cac-ud-train,23478,0,1,,,,,,,1.0,,,,,,,
fr_partut-ud-train,803,0,1,,,,,,,,1.0,,,,,,
