Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,csubj,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
el_gud-ud-train,1071,0,1,,,,,,,,,1.0,,,,
el_gud-ud-test,736,0,2,,,,,,1.0,,,1.0,,,,
grc_perseus-ud-dev,1137,0,84,,1.0,,1.0,,27.0,,,54.0,,,,1.0
grc_perseus-ud-train,11476,0,320,2.0,5.0,,,1.0,61.0,,,234.0,,,12.0,5.0
grc_perseus-ud-test,1306,0,172,,,,,,63.0,,,109.0,,,,
grc_proiel-ud-test,1047,0,24,,1.0,,1.0,,3.0,,,18.0,,,1.0,
grc_proiel-ud-train,15016,0,431,2.0,14.0,7.0,2.0,,40.0,9.0,18.0,322.0,8.0,1.0,2.0,6.0
grc_proiel-ud-dev,1019,0,30,,,,,,3.0,,1.0,22.0,2.0,,,2.0
grc_ptnk-ud-train,727,0,9,1.0,,,,,,,,8.0,,,,
grc_ptnk-ud-dev,439,0,5,,,,,,,,,5.0,,,,
grc_ptnk-ud-test,410,0,22,,,,,,1.0,,,21.0,,,,
el_gdt-ud-test,456,0,1,,,,,,1.0,,,,,,,
el_gdt-ud-train,1662,0,4,,,,,,3.0,,,1.0,,,,
el_gdt-ud-dev,403,0,1,,,,,,1.0,,,,,,,
