Treebank,Number of Sentences,Failures,Total,advcl,advmod,dislocated,nmod,nsubj,obl,orphan,root
en_partut-ud-dev,156,0,1,,,,,,1,,
en_partut-ud-train,1781,0,26,,,,3.0,,22,1.0,
en_partut-ud-test,153,0,3,,,,,,3,,
ga_twittirish-ud-dev,864,0,1,,,,,,1,,
en_atis-ud-test,586,0,1,,,,,,1,,
en_atis-ud-train,4274,0,5,,,,3.0,,2,,
en_atis-ud-dev,572,0,1,,,,,,1,,
en_gum-ud-train,9521,0,62,,,,10.0,,51,,1.0
en_gum-ud-test,1285,0,13,,,,1.0,,12,,
en_gum-ud-dev,1341,0,13,,,,1.0,,12,,
en_lines-ud-train,3176,0,6,,,,,,6,,
en_lines-ud-dev,1032,0,3,,1.0,,,,2,,
en_lines-ud-test,1035,0,5,,,1.0,,,4,,
en_ewt-ud-test,2077,0,4,,,,1.0,,3,,
en_ewt-ud-dev,2001,0,11,,,,1.0,,10,,
en_ewt-ud-train,12544,0,70,,,,13.0,,57,,
pcm_nsc-ud-dev,990,0,1,,,,,,1,,
pcm_nsc-ud-train,7279,0,8,1.0,,1.0,,1.0,5,,
pcm_nsc-ud-test,972,0,1,,,,,,1,,
en_gentle-ud-test,1334,0,3,,,,1.0,,2,,
en_pud-ud-test,1000,0,33,1.0,,,4.0,,28,,
