Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,946,,2.0,5.0,7.0,4.0,2.0,,1.0,,,,,,,326.0,,,1.0,570.0,,19.0,9.0
no_bokmaal-ud-test,1939,0,832,,1.0,5.0,10.0,2.0,2.0,,,,2.0,,,,,305.0,1.0,,1.0,485.0,,13.0,5.0
no_bokmaal-ud-train,15696,0,6670,,10.0,47.0,74.0,16.0,12.0,,1.0,,4.0,,1.0,,,2129.0,,,2.0,4186.0,1.0,115.0,72.0
sga_dipsgg-ud-test,64,0,9,,,,,,,,,,,1.0,,,,5.0,1.0,,,,,2.0,
sv_talbanken-ud-dev,504,0,244,,5.0,4.0,1.0,2.0,,,,,1.0,,,,,71.0,2.0,,,141.0,1.0,16.0,
sv_talbanken-ud-test,1219,0,463,1.0,8.0,9.0,4.0,,1.0,,1.0,,,,,,,106.0,2.0,,,294.0,4.0,30.0,3.0
sv_talbanken-ud-train,4303,0,1706,,33.0,29.0,6.0,8.0,13.0,2.0,3.0,,,,,,,423.0,3.0,4.0,2.0,1063.0,6.0,107.0,4.0
no_nynorsk-ud-dev,1890,0,930,,2.0,9.0,10.0,3.0,3.0,,1.0,,,,,,,318.0,1.0,1.0,,557.0,,14.0,11.0
no_nynorsk-ud-test,1511,0,764,,,4.0,5.0,1.0,3.0,,,,,,,,,270.0,,,2.0,463.0,,13.0,3.0
no_nynorsk-ud-train,14174,0,7638,,11.0,56.0,88.0,20.0,14.0,,1.0,,7.0,,,,,2826.0,4.0,,7.0,4427.0,,111.0,66.0
ga_twittirish-ud-dev,864,0,347,,4.0,1.0,,,2.0,,5.0,,,,,,,94.0,,,1.0,174.0,19.0,14.0,33.0
ga_twittirish-ud-test,866,0,322,,6.0,1.0,,,6.0,2.0,9.0,,,,,,,91.0,1.0,,,145.0,14.0,15.0,32.0
ga_twittirish-ud-train,866,0,345,,4.0,2.0,,,1.0,4.0,2.0,,,,,,,94.0,,1.0,,179.0,18.0,11.0,29.0
bor_bdt-ud-test,881,0,10,,,,,,2.0,,,,,,,,,,,,1.0,5.0,,2.0,
tr_gb-ud-test,2880,0,1,,,,,,,1.0,,,,,,,,,,,,,,,
sv_lines-ud-dev,1032,0,360,,2.0,,1.0,,,,,,,,,,,101.0,,,,251.0,2.0,2.0,1.0
sv_lines-ud-train,3176,0,1109,,4.0,11.0,4.0,3.0,2.0,6.0,,,2.0,,,,,337.0,1.0,,,734.0,2.0,2.0,1.0
sv_lines-ud-test,1035,0,319,,1.0,1.0,1.0,,1.0,4.0,,,1.0,,,,,98.0,,,,206.0,,5.0,1.0
fo_oft-ud-test,1208,0,1,,,,,,,,,,,,,,,1.0,,,,,,,
ga_idt-ud-train,4005,0,3063,,61.0,44.0,2.0,1.0,24.0,,46.0,,1.0,2.0,,,1.0,524.0,2.0,1.0,2.0,1931.0,6.0,89.0,326.0
ga_idt-ud-test,454,0,314,,8.0,1.0,,,6.0,,6.0,,,,,,,67.0,,,,159.0,,13.0,54.0
ga_idt-ud-dev,451,0,312,,4.0,3.0,,,1.0,,6.0,,,1.0,,,,49.0,1.0,,,213.0,3.0,11.0,20.0
ota_boun-ud-train,114,0,2,,,,,,,,,,,,,,,2.0,,,,,,,
ota_boun-ud-test,400,0,1,,,,,,,,,,,,,,,1.0,,,,,,,
sv_pud-ud-test,1000,0,470,,6.0,7.0,1.0,,,,1.0,,,,,,,135.0,1.0,,,303.0,5.0,9.0,2.0
da_ddt-ud-train,4383,0,2264,,27.0,30.0,58.0,,7.0,3.0,,1.0,,,,2.0,,709.0,6.0,59.0,7.0,1246.0,,106.0,3.0
da_ddt-ud-test,565,0,279,,4.0,4.0,10.0,1.0,5.0,,,,,,,,,85.0,,8.0,,150.0,1.0,10.0,1.0
da_ddt-ud-dev,564,0,258,,2.0,3.0,7.0,,3.0,,,,,,,,,79.0,1.0,2.0,,151.0,,10.0,
cy_ccg-ud-test,953,0,437,,64.0,40.0,,1.0,30.0,,1.0,,,,1.0,,,63.0,52.0,,2.0,137.0,,2.0,44.0
cy_ccg-ud-dev,409,0,229,,25.0,41.0,,,9.0,,,,,,,,1.0,43.0,25.0,,,73.0,,1.0,11.0
cy_ccg-ud-train,1189,0,717,,102.0,132.0,1.0,,26.0,,2.0,,,,,,1.0,120.0,92.0,,1.0,202.0,,3.0,35.0
sga_dipwbg-ud-test,34,0,5,,1.0,,,,,,,,,,,,,,,,,4.0,,,
qtd_sagt-ud-dev,801,0,1,,,,,,,,,,,,,,,,,,,,,1.0,
ga_cadhan-ud-test,193,0,126,,7.0,5.0,,,1.0,,3.0,,,,,,,14.0,,,,53.0,5.0,7.0,31.0
