Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,csubj,dep,iobj,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
cs_pud-ud-test,1000,0,29,,,,,1.0,,,,,,,,18.0,1.0,,,8.0,,,1.0,
cs_cltt-ud-dev,316,0,11,,,,,,,,,,,,,7.0,,,,4.0,,,,
cs_cltt-ud-train,467,0,25,,,,,,,,,,,,,19.0,,,,6.0,,,,
cs_cltt-ud-test,338,0,3,,,,,,,,,,,,,2.0,,,,1.0,,,,
cs_fictree-ud-dev,1309,0,8,,,,,,,,,,1.0,,,,,,,7.0,,,,
cs_fictree-ud-train,10160,0,50,,,,,,,,1.0,,,,,15.0,,,,32.0,,,2.0,
cs_fictree-ud-test,1291,0,5,,,,,,,,,,,,,1.0,,,,3.0,,,1.0,
cs_pdt-ud-test,10146,0,191,3.0,1.0,,2.0,,,,1.0,,1.0,,,110.0,,1.0,,64.0,,,8.0,
cs_pdt-ud-dev,9270,0,164,,,1.0,1.0,,,1.0,,1.0,1.0,,,80.0,,,,67.0,,,12.0,
cs_pdt-ud-train,68491,0,1163,5.0,12.0,2.0,6.0,8.0,1.0,3.0,8.0,1.0,19.0,1.0,1.0,556.0,1.0,9.0,5.0,442.0,2.0,3.0,75.0,3.0
cs_cac-ud-dev,603,0,3,,,,,,,,,,1.0,,,2.0,,,,,,,,
cs_cac-ud-train,23478,0,589,,2.0,1.0,1.0,2.0,,,3.0,1.0,6.0,,,341.0,,1.0,,211.0,,,18.0,2.0
cs_cac-ud-test,628,0,9,,,,,,,,,,,,,5.0,,,,4.0,,,,
cs_poetry-ud-test,297,0,4,,,,,,,,,,,,,,,,,4.0,,,,
