Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dep,nmod,nsubj,obj,obl,parataxis,reparandum,root,xcomp
frm_profiterole-ud-test,512,0,21,,1.0,,,,2.0,1.0,,17.0,,,,
fr_pud-ud-test,1000,0,1,,,,,,,,,1.0,,,,
fr_gsd-ud-test,416,0,5,,,1.0,,,1.0,,,3.0,,,,
fr_gsd-ud-train,14450,0,218,,,10.0,,,39.0,2.0,7.0,153.0,,,1.0,6.0
fr_gsd-ud-dev,1476,0,25,,1.0,1.0,,,3.0,,1.0,19.0,,,,
fr_rhapsodie-ud-train,1288,0,19,,1.0,,,,,,,14.0,,4.0,,
fr_rhapsodie-ud-dev,1081,0,16,,1.0,,,,,,,13.0,,2.0,,
fr_rhapsodie-ud-test,840,0,5,,,,,,,,,5.0,,,,
fr_parisstories-ud-train,1387,0,6,,1.0,,,,1.0,,,4.0,,,,
fr_parisstories-ud-test,697,0,2,,,,,,,,,2.0,,,,
fro_profiterole-ud-train,15503,0,50,3.0,2.0,11.0,,,3.0,,,30.0,,,1.0,
qaf_arabizi-ud-train,1003,0,16,,1.0,,1.0,,1.0,3.0,1.0,6.0,2.0,,1.0,
qaf_arabizi-ud-test,145,0,1,,1.0,,,,,,,,,,,
qaf_arabizi-ud-dev,139,0,2,,,,,,,1.0,,,1.0,,,
fr_partut-ud-dev,107,0,1,,,,,,,,1.0,,,,,
fr_partut-ud-test,110,0,1,,,,,,,,,1.0,,,,
fr_partut-ud-train,803,0,8,,,,,,3.0,,,5.0,,,,
fr_sequoia-ud-test,456,0,4,,,,,,,,,4.0,,,,
fr_sequoia-ud-train,2231,0,22,,,,,5.0,,,1.0,16.0,,,,
fr_sequoia-ud-dev,412,0,3,,,,,,1.0,,,2.0,,,,
