Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,cc,ccomp,dislocated,mark,nmod,nsubj,nummod,obl,parataxis,root,xcomp
it_old-ud-dev,316,0,1,,,,,,,,,,,,1,,,
it_pud-ud-test,1000,0,88,,4.0,,,4.0,2.0,,1.0,31.0,,,43,,1.0,2.0
it_isdt-ud-test,482,0,13,,,,,,,,,1.0,,,12,,,
it_isdt-ud-train,13121,0,435,2.0,10.0,6.0,,2.0,2.0,,,133.0,,,267,,10.0,3.0
it_isdt-ud-dev,564,0,20,,2.0,,,,1.0,,,5.0,,,12,,,
it_partut-ud-dev,156,0,11,1.0,1.0,,,,1.0,,,1.0,,,7,,,
it_partut-ud-test,153,0,6,,,,,,,,,1.0,,,5,,,
it_partut-ud-train,1781,0,130,1.0,5.0,,,,1.0,,,46.0,,,76,,1.0,
it_twittiro-ud-test,142,0,5,,,1.0,,,,,,1.0,,,1,1.0,1.0,
it_twittiro-ud-train,1138,0,37,,1.0,,,,2.0,,,5.0,,,17,5.0,7.0,
it_twittiro-ud-dev,144,0,3,,,,,,,,,,,,1,,2.0,
it_markit-ud-test,340,0,28,,3.0,1.0,,,,,,8.0,,,15,,1.0,
it_markit-ud-train,611,0,59,,6.0,,,,1.0,,,21.0,1.0,,27,,3.0,
it_markit-ud-dev,341,0,38,1.0,6.0,,,,1.0,1.0,,7.0,,,21,,1.0,
it_postwita-ud-train,5368,0,113,2.0,6.0,5.0,,,1.0,,,27.0,,,60,3.0,9.0,
it_postwita-ud-dev,670,0,23,,1.0,,,,,,,1.0,,,16,1.0,4.0,
it_postwita-ud-test,674,0,16,,1.0,,,,,,,2.0,,,11,1.0,1.0,
it_vit-ud-train,8277,0,271,,12.0,2.0,1.0,,1.0,,,97.0,1.0,1.0,147,,7.0,2.0
it_vit-ud-test,1067,0,53,,6.0,1.0,,,1.0,,,13.0,,,30,,2.0,
it_vit-ud-dev,743,0,27,,2.0,,,,,,,11.0,,,12,,2.0,
it_parlamint-ud-test,375,0,22,1.0,,2.0,,1.0,,,,8.0,,,10,,,
it_parlamint-ud-train,326,0,14,1.0,3.0,,,1.0,,,,5.0,,,4,,,
