Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,dep,discourse,dislocated,expl,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,73,,,,3.0,3.0,,,,,,,,,,,,,28.0,,,,37,1.0,1.0,,,,
sl_ssj-ud-dev,1250,0,86,,,,5.0,,,,,,,,,,,,,,24.0,,,,53,4.0,,,,,
sl_ssj-ud-train,10903,0,604,,,,30.0,9.0,,,,,4.0,,,,,,1.0,,229.0,1.0,1.0,,308,10.0,3.0,,,7.0,1.0
pl_pdb-ud-test,2215,0,93,,,,1.0,,,,,,,,,,,,,,17.0,,,,74,,,,,1.0,
pl_pdb-ud-train,17722,0,776,,,,10.0,,,,,,,,,,,1.0,,,139.0,,,,621,1.0,,,,3.0,1.0
pl_pdb-ud-dev,2215,0,113,,,,3.0,,,,,,,,,,,,,,21.0,,,,89,,,,,,
hr_set-ud-dev,960,0,164,,,,5.0,2.0,,,,,,1.0,,,1.0,,,,59.0,9.0,24.0,5.0,53,1.0,1.0,,,3.0,
hr_set-ud-train,6914,0,930,,6.0,8.0,19.0,16.0,,,5.0,,,1.0,1.0,,5.0,,,,327.0,41.0,44.0,17.0,376,1.0,10.0,,,42.0,11.0
hr_set-ud-test,1136,0,156,,1.0,1.0,5.0,2.0,,,2.0,,,,,,,,,,51.0,8.0,5.0,1.0,66,,4.0,,,9.0,1.0
sk_snk-ud-dev,1060,0,40,,,,,,,,,,1.0,,,,,,,,10.0,,,,29,,,,,,
sk_snk-ud-test,1061,0,28,,,,,,,,,,,,,,,,,,8.0,,1.0,,19,,,,,,
sk_snk-ud-train,8483,0,132,,,,1.0,1.0,,,,,2.0,,,,,,,,20.0,,,,107,,,,,1.0,
cs_pud-ud-test,1000,0,45,,,,,2.0,,,,,,,,,,,,,19.0,,,,24,,,,,,
sr_set-ud-test,520,0,80,,2.0,1.0,2.0,1.0,,,2.0,,,,,,2.0,,,,18.0,2.0,4.0,,38,,1.0,,,7.0,
sr_set-ud-train,3328,0,395,,,1.0,5.0,4.0,,,4.0,,,,,,,,,,118.0,21.0,10.0,7.0,183,,7.0,,,29.0,6.0
sr_set-ud-dev,536,0,64,,,1.0,2.0,1.0,,,,,,,,,,,,,14.0,7.0,5.0,2.0,30,,,,,2.0,
cs_cltt-ud-dev,316,0,28,,,,,,,,,,,,,,,,,,7.0,,,,21,,,,,,
cs_cltt-ud-train,467,0,20,,,,,,,,,,1.0,,,,,,,,13.0,,,,6,,,,,,
cs_cltt-ud-test,338,0,20,,,,,,,,,,,,,,,,,,8.0,,,,12,,,,,,
cs_fictree-ud-dev,1309,0,30,,,,,1.0,,,1.0,,1.0,,,,,,,,7.0,,,,19,,,,,1.0,
cs_fictree-ud-train,10160,0,223,,,,,2.0,,,,,10.0,,,,,,,,51.0,,1.0,,155,,,,,3.0,1.0
cs_fictree-ud-test,1291,0,21,,,,,,,,,,1.0,,,,,,,,8.0,,,,12,,,,,,
sl_sst-ud-train,4558,0,138,,,,6.0,2.0,,,,,,,,,,,,,41.0,,,1.0,64,6.0,5.0,,2.0,11.0,
sl_sst-ud-test,1041,0,21,,,,2.0,,,,,,,,,,,,,,1.0,,,,14,1.0,,,,3.0,
sl_sst-ud-dev,505,0,23,,,,2.0,2.0,,,,,,,,,,,,,5.0,,,,12,,,,,2.0,
cs_pdt-ud-test,10146,0,355,1.0,3.0,,1.0,2.0,1.0,4.0,,,21.0,,,,,,,,80.0,,7.0,,221,1.0,,5.0,,8.0,
cs_pdt-ud-dev,9270,0,286,6.0,1.0,2.0,3.0,3.0,1.0,,,,15.0,,,,,,,,51.0,,4.0,,191,,,2.0,,5.0,2.0
cs_pdt-ud-train,68491,0,2096,14.0,6.0,3.0,5.0,14.0,,3.0,2.0,1.0,131.0,,,2.0,,,,1.0,443.0,,25.0,2.0,1385,1.0,,29.0,,28.0,1.0
pl_pud-ud-test,1000,0,60,,,,,,,,,,,,,,,,,,15.0,1.0,,,44,,,,,,
cs_cac-ud-dev,603,0,15,,,,,,,,,,,,,,,,,,3.0,,1.0,,11,,,,,,
cs_cac-ud-train,23478,0,844,,,,6.0,4.0,,,1.0,,37.0,,,,,,,,209.0,,19.0,,561,,,,,6.0,1.0
cs_cac-ud-test,628,0,13,,,,,,,,,,1.0,,,,,,,,2.0,,,,9,,,,,1.0,
pl_lfg-ud-test,1727,0,43,,,,,,,,,,,,,,,,,,4.0,,,,39,,,,,,
pl_lfg-ud-train,13774,0,273,,,,,,,,,,,,,,,,,,28.0,,,,245,,,,,,
pl_lfg-ud-dev,1745,0,26,,,,,,,,,,,,,,,,,,3.0,,,,23,,,,,,
cs_poetry-ud-test,297,0,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
