Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
ro_nonstandard-ud-test,1052,0,167,,3.0,6.0,,1.0,,,,,,,27,,,2.0,124,3.0,,1.0,
ro_nonstandard-ud-dev,1052,0,144,,,5.0,,2.0,,,,,,,24,,,,110,,1.0,2.0,
ro_nonstandard-ud-train,24121,0,6879,61.0,33.0,94.0,31.0,2.0,16.0,1.0,7.0,,7.0,,794,12.0,1.0,6.0,5658,3.0,10.0,101.0,42.0
ro_simonero-ud-test,491,0,251,,1.0,2.0,,,,,,,,,169,,1.0,,74,,,4.0,
ro_simonero-ud-train,3747,0,1820,2.0,7.0,37.0,2.0,,3.0,,1.0,,,,1162,1.0,43.0,,548,,2.0,12.0,
ro_simonero-ud-dev,443,0,247,,1.0,7.0,1.0,,,,,,,,151,,15.0,,71,,,1.0,
ro_tuecl-ud-test,210,0,48,,,1.0,,,,,,,,,8,,,1.0,33,4.0,,1.0,
ro_art-ud-test,50,0,3,,,,,,,,,,,,1,,,,2,,,,
ro_rrt-ud-test,729,0,160,,,,2.0,,,,,,4.0,,58,,3.0,,89,2.0,,1.0,1.0
ro_rrt-ud-train,8043,0,1825,6.0,14.0,48.0,2.0,,9.0,,1.0,1.0,4.0,2.0,615,1.0,16.0,2.0,1068,2.0,,29.0,5.0
ro_rrt-ud-dev,752,0,176,3.0,1.0,1.0,,,,,,,,,49,,4.0,,112,,1.0,4.0,1.0
