Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
la_circse-ud-test,1263,0,51,,,,,,,,,5.0,,,,40.0,2.0,,3.0,1.0
la_perseus-ud-test,939,0,17,,,,,,,,,3.0,,,,14.0,,,,
la_perseus-ud-train,1334,0,61,,1.0,,,,,,,10.0,,,,50.0,,,,
pt_gsd-ud-train,9616,0,1,,,,,,,,,,,,,1.0,,,,
ro_tuecl-ud-test,210,0,2,,,,,,,,2.0,,,,,,,,,
la_llct-ud-dev,850,0,17,,,,,,,,,11.0,,,,6.0,,,,
la_llct-ud-test,884,0,17,,,,,,,,,11.0,,,,6.0,,,,
la_llct-ud-train,7289,0,221,,,,,,,,,90.0,,,,130.0,,,1.0,
la_proiel-ud-test,1260,0,71,1.0,3.0,,,,,,,23.0,,,3.0,39.0,,,2.0,
la_proiel-ud-dev,1233,0,46,,6.0,,,,,,,14.0,,,1.0,24.0,,,1.0,
la_proiel-ud-train,16196,0,843,15.0,47.0,8.0,5.0,9.0,,3.0,,180.0,16.0,,7.0,489.0,26.0,5.0,31.0,2.0
pt_bosque-ud-train,7018,0,2,,,,1.0,,,,,1.0,,,,,,,,
la_udante-ud-train,926,0,91,,3.0,1.0,,,,,,1.0,,,,85.0,1.0,,,
la_udante-ud-test,419,0,13,,,,,,,,,,,,,12.0,1.0,,,
la_udante-ud-dev,376,0,16,,1.0,1.0,,,,,,,,,,14.0,,,,
la_ittb-ud-dev,2101,0,201,,4.0,1.0,,,2.0,,,3.0,,,,181.0,1.0,,9.0,
la_ittb-ud-test,2101,0,266,5.0,10.0,4.0,,,1.0,,,4.0,,,,220.0,2.0,,19.0,1.0
la_ittb-ud-train,22775,0,3004,32.0,102.0,17.0,,4.0,12.0,,,70.0,1.0,1.0,,2645.0,42.0,,76.0,2.0
it_vit-ud-dev,743,0,2,,,,,,,,,1.0,,,,1.0,,,,
cs_cac-ud-train,23478,0,1,,,,,,,,,,,,,1.0,,,,
