Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,csubj,dep,expl,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,62,,,,,,,,,,,,,,,,33.0,,,,29.0,,,,,,
sl_ssj-ud-dev,1250,0,84,,,,,,,,,,,,,,,,48.0,,,,35.0,1.0,,,,,
sl_ssj-ud-train,10903,0,594,,,,,5.0,,,,,,,,,,,342.0,,1.0,,235.0,6.0,3.0,,,2.0,
pl_pdb-ud-test,2215,0,164,,,5.0,1.0,,,,,,,,,,,,54.0,,,,101.0,,,,,3.0,
pl_pdb-ud-train,17722,0,1439,,,42.0,23.0,,,,1.0,,,,,,2.0,,496.0,,,,862.0,1.0,,,,12.0,
pl_pdb-ud-dev,2215,0,180,,,3.0,2.0,,,,,,,,,,,,55.0,,,,118.0,,,,,2.0,
hr_set-ud-dev,960,0,53,,,1.0,,,,,,,,,,,,,26.0,,,,25.0,,1.0,,,,
hr_set-ud-train,6914,0,591,,2.0,7.0,,,,,3.0,,,,,1.0,,,362.0,1.0,,1.0,194.0,,1.0,,,18.0,1.0
hr_set-ud-test,1136,0,82,,,,,,,,,,,,,,,,53.0,,,,28.0,,1.0,,,,
sk_snk-ud-dev,1060,0,49,,,,,,,,,,,,,,,,24.0,,,,25.0,,,,,,
sk_snk-ud-test,1061,0,55,,,,1.0,,,,,,,1.0,,,,,28.0,,,,25.0,,,,,,
sk_snk-ud-train,8483,0,344,,,,,3.0,,,,,,2.0,,,,,95.0,,,1.0,239.0,,,,,4.0,
cs_pud-ud-test,1000,0,75,,3.0,,,,,,,,,,,,,,35.0,,,,37.0,,,,,,
pt_petrogold-ud-train,7170,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,39,,,,,,,,1.0,,,,,,,,27.0,,,,11.0,,,,,,
sr_set-ud-train,3328,0,290,,,2.0,,,,,,,,,1.0,,,,203.0,1.0,1.0,,81.0,1.0,,,,,
sr_set-ud-dev,536,0,20,,,,,,,,,,,,,,,,13.0,,,,7.0,,,,,,
cs_cltt-ud-dev,316,0,72,,,,1.0,,,,,,,1.0,,,,,38.0,,,,31.0,,,,,,1.0
cs_cltt-ud-train,467,0,120,,,,,,,,,,,1.0,,,,,65.0,,,,49.0,,,,,,5.0
cs_cltt-ud-test,338,0,84,,,,1.0,,,,,,,,,,,,44.0,,,,39.0,,,,,,
pt_bosque-ud-test,1167,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
pt_bosque-ud-train,7018,0,5,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
fro_profiterole-ud-train,15503,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
cs_fictree-ud-dev,1309,0,69,,,,,2.0,,,,,,1.0,,,,,11.0,,,,53.0,,,,,2.0,
cs_fictree-ud-train,10160,0,433,,1.0,,2.0,,,,,,,5.0,,,,,51.0,,1.0,,369.0,,,,,3.0,1.0
cs_fictree-ud-test,1291,0,48,,,,2.0,1.0,,,,,,2.0,,,,,5.0,,,,37.0,,,,,,1.0
cy_ccg-ud-test,953,0,368,,11.0,8.0,9.0,,,,4.0,,,,,,,,261.0,3.0,,1.0,64.0,,,,,2.0,5.0
cy_ccg-ud-dev,409,0,213,,12.0,6.0,4.0,,,,,,,,,,,,145.0,,,,44.0,,,,,,2.0
cy_ccg-ud-train,1189,0,550,,20.0,9.0,10.0,1.0,,,4.0,,,,,,,,407.0,1.0,,2.0,91.0,,,,,1.0,4.0
sl_sst-ud-train,4558,0,108,,,1.0,,2.0,,,,,,,,,,,18.0,,,,80.0,2.0,,,4.0,,1.0
sl_sst-ud-test,1041,0,12,,,,,,,,,,,,,,,,3.0,,,,7.0,1.0,,,,1.0,
sl_sst-ud-dev,505,0,22,,,,,,,,,,,,,,,,10.0,,,,11.0,,,,,1.0,
arr_tudet-ud-test,674,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_pdt-ud-test,10146,0,1026,6.0,2.0,1.0,1.0,3.0,,1.0,1.0,,1.0,9.0,2.0,,,,373.0,2.0,27.0,1.0,579.0,2.0,,5.0,,6.0,4.0
cs_pdt-ud-dev,9270,0,920,5.0,2.0,,5.0,4.0,,2.0,1.0,,,15.0,1.0,,,,352.0,,7.0,2.0,512.0,,,5.0,,5.0,2.0
cs_pdt-ud-train,68491,0,6715,63.0,3.0,8.0,44.0,21.0,5.0,12.0,7.0,2.0,5.0,88.0,5.0,1.0,,5.0,2449.0,4.0,116.0,23.0,3756.0,2.0,2.0,24.0,,53.0,17.0
pl_pud-ud-test,1000,0,72,,,,2.0,,,,,,,,,,,,33.0,,,,37.0,,,,,,
cs_cac-ud-dev,603,0,52,,,,,1.0,,,,,,,,,,,33.0,,,,18.0,,,,,,
cs_cac-ud-train,23478,0,2557,,1.0,,6.0,16.0,,,,,,20.0,,,,2.0,1089.0,,28.0,,1383.0,,,,,7.0,5.0
cs_cac-ud-test,628,0,55,,,,,,,,,,,1.0,,,,,21.0,,,,32.0,,,,,,1.0
pl_lfg-ud-test,1727,0,73,,,,,,,,,,,,,,,,9.0,,,,64.0,,,,,,
pl_lfg-ud-train,13774,0,473,,,,,,,,,,,,,,,,62.0,,,,410.0,,,,,,1.0
pl_lfg-ud-dev,1745,0,64,,,,,,,,,,,,,,,,8.0,,,,56.0,,,,,,
cs_poetry-ud-test,297,0,13,,,,,1.0,,,,,,,,,,,,,,,12.0,,,,,,
