Treebank,Number of Sentences,Failures,Total,advcl,advmod,compound,flat,iobj,nmod,nsubj,obj,obl,parataxis,root,xcomp
tr_pud-ud-test,1000,0,7,,,,,,,,,7,,,
tr_kenet-ud-dev,1646,0,2,,,,,,,,,2,,,
tr_kenet-ud-test,1643,0,2,,,,,,,,,1,,1.0,
tr_kenet-ud-train,15398,0,91,1.0,,,,1.0,2.0,1.0,1.0,84,,,1.0
tr_framenet-ud-test,205,0,2,,,,,,1.0,,,1,,,
tr_framenet-ud-train,2288,0,24,6.0,,,,,4.0,,,14,,,
tr_framenet-ud-dev,205,0,1,,,,,,,,,1,,,
tr_gb-ud-test,2880,0,5,,,,,,,,,3,,2.0,
ota_boun-ud-test,400,0,5,,,,,,,,1.0,4,,,
qtd_sagt-ud-train,578,0,1,,,,,,,,,1,,,
tr_imst-ud-train,3435,0,17,,2.0,,,,2.0,,,13,,,
tr_imst-ud-dev,1100,0,7,,,,,,2.0,,,5,,,
tr_imst-ud-test,1100,0,5,,1.0,,,,,,,3,,1.0,
tr_boun-ud-dev,979,0,4,,,,,,,,,4,,,
tr_boun-ud-test,979,0,5,,,,,,,,,5,,,
tr_boun-ud-train,7803,0,40,1.0,,,,,2.0,,,34,,3.0,
tr_penn-ud-dev,622,0,1,,,,,,,,,1,,,
tr_penn-ud-test,924,0,3,,,,,,1.0,,,1,1.0,,
tr_penn-ud-train,14850,0,26,2.0,3.0,1.0,1.0,,4.0,,,14,,1.0,
