Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
be_hse-ud-train,22853,0,1,,,,1.0,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,160,1.0,3.0,,8.0,,,,,7.0,,,,138.0,1.0,,,2.0,
cu_proiel-ud-test,2096,0,22,,,,,,,,,1.0,,,,21.0,,,,,
cu_proiel-ud-dev,2205,0,31,,,,1.0,,,,,,,,,30.0,,,,,
ru_taiga-ud-train,16045,0,496,2.0,2.0,,1.0,1.0,1.0,,,251.0,,1.0,1.0,210.0,4.0,7.0,,15.0,
ru_taiga-ud-dev,946,0,28,,,,,,,,,7.0,,,,21.0,,,,,
ru_taiga-ud-test,881,0,35,,,,,,,,,19.0,,,1.0,14.0,,,,1.0,
ru_syntagrus-ud-train,69630,0,4296,10.0,4.0,,3.0,5.0,,,,2382.0,3.0,,,1805.0,3.0,23.0,3.0,53.0,2.0
ru_syntagrus-ud-dev,8906,0,556,3.0,,1.0,,,,,,294.0,,1.0,,243.0,1.0,3.0,,10.0,
ru_syntagrus-ud-test,8800,0,588,1.0,1.0,,,,,,,304.0,,,,271.0,,5.0,,6.0,
ru_poetry-ud-test,728,0,17,,,,,,,,,2.0,,,,13.0,,,,2.0,
ru_poetry-ud-dev,789,0,27,,,,,,,,,8.0,,,,13.0,2.0,,,4.0,
ru_poetry-ud-train,3569,0,113,1.0,,,,,,,,27.0,,,,70.0,1.0,,,14.0,
ru_pud-ud-test,1000,0,98,1.0,,,,,,,,58.0,1.0,1.0,,36.0,,1.0,,,
orv_torot-ud-test,2955,0,85,,,3.0,1.0,,,,,3.0,,,,76.0,,,,2.0,
orv_torot-ud-dev,3061,0,68,,,1.0,,,,,,1.0,,,,64.0,1.0,,,1.0,
orv_torot-ud-train,20480,0,486,,1.0,14.0,2.0,,,2.0,,17.0,,,,412.0,17.0,,,20.0,1.0
ru_gsd-ud-test,601,0,41,,,,,,,,,27.0,,,,13.0,,,,1.0,
ru_gsd-ud-dev,579,0,49,,,,,,,,,33.0,,1.0,,15.0,,,,,
ru_gsd-ud-train,3850,0,319,,,,1.0,,,2.0,,191.0,,,,123.0,2.0,,,,
bg_btb-ud-train,8907,0,19,,,1.0,,,,,6.0,,,,1.0,11.0,,,,,
bg_btb-ud-test,1116,0,2,,,,,,,,2.0,,,,,,,,,,
bg_btb-ud-dev,1115,0,4,,,,,,,,,,,,,4.0,,,,,
bxr_bdt-ud-test,908,0,1,,,,,,,,,1.0,,,,,,,,,
