Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dep,discourse,nmod,nsubj,obl,parataxis,reparandum,root
en_partut-ud-train,1781,0,12,,2.0,1.0,,,,1.0,1.0,7.0,,,
en_gum-ud-train,9521,0,26,1.0,,,,,,6.0,,18.0,,,1.0
en_gum-ud-test,1285,0,2,,,,,,,1.0,,1.0,,,
en_gum-ud-dev,1341,0,1,,,,,,,1.0,,,,,
en_lines-ud-train,3176,0,6,,1.0,,,,,,,5.0,,,
en_lines-ud-dev,1032,0,2,,,,,,,,,2.0,,,
en_lines-ud-test,1035,0,1,,,,,,,1.0,,,,,
en_ewt-ud-test,2077,0,2,,,,,,,1.0,,1.0,,,
en_ewt-ud-dev,2001,0,2,,,,,,,,,2.0,,,
en_ewt-ud-train,12544,0,34,,,,,,,3.0,,31.0,,,
pcm_nsc-ud-dev,990,0,2,,,,,,,,,1.0,,,1.0
pcm_nsc-ud-train,7279,0,41,5.0,16.0,4.0,1.0,1.0,1.0,,,6.0,3.0,1.0,3.0
pcm_nsc-ud-test,972,0,1,1.0,,,,,,,,,,,
en_gentle-ud-test,1334,0,2,,,,,,,,,2.0,,,
en_pud-ud-test,1000,0,8,,,,,,,2.0,,6.0,,,
