Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,dep,nmod,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,5,,,,,,4.0,1.0,,
la_llct-ud-dev,850,0,2,,1.0,,,,1.0,,,
la_llct-ud-test,884,0,4,,,,,,4.0,,,
la_llct-ud-train,7289,0,31,,2.0,,,1.0,28.0,,,
la_proiel-ud-test,1260,0,1,,,,,,1.0,,,
la_proiel-ud-dev,1233,0,3,1.0,,1.0,,,,,,1.0
la_proiel-ud-train,16196,0,17,1.0,1.0,2.0,1.0,2.0,8.0,,2.0,
la_udante-ud-train,926,0,14,,1.0,,,,13.0,,,
la_udante-ud-dev,376,0,1,,,,,,1.0,,,
la_ittb-ud-train,22775,0,2,,,,,,2.0,,,
