Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,discourse,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
en_partut-ud-dev,156,0,10,2.0,2.0,,,,,,,,,,1.0,1.0,,,,4.0,,,,,,,
en_partut-ud-train,1781,0,187,5.0,17.0,5.0,,11.0,1.0,,,,,,4.0,20.0,,2.0,1.0,121.0,,,,,,,
en_partut-ud-test,153,0,28,1.0,5.0,,,2.0,,,,,,,3.0,,,,,16.0,,,,,,,1.0
ga_twittirish-ud-dev,864,0,48,,1.0,,,,,,,,,,,14.0,,,2.0,19.0,,3.0,,,4.0,,5.0
ga_twittirish-ud-test,866,0,57,1.0,1.0,,,,,,1.0,,,,,19.0,1.0,,1.0,20.0,,7.0,,,1.0,,5.0
ga_twittirish-ud-train,866,0,64,1.0,,,,,,,,,,,,12.0,,,1.0,36.0,,6.0,,,3.0,,5.0
en_atis-ud-test,586,0,4,,,4.0,,,,,,,,,,,,,,,,,,,,,
en_atis-ud-train,4274,0,13,,1.0,4.0,,2.0,,,,,,,,1.0,,,,2.0,,,,,3.0,,
en_atis-ud-dev,572,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,
gv_cadhan-ud-test,1164,0,5,,,,,,,,,,,,,,,,,5.0,,,,,,,
gv_cadhan-ud-train,1172,0,5,,,,,,,,,,,,,,,,,5.0,,,,,,,
nds_lsdc-ud-train,500,0,35,,,,,,1.0,,,,,,,,,,,34.0,,,,,,,
nds_lsdc-ud-test,500,0,38,,,,,,,,,,,,,7.0,,,,31.0,,,,,,,
en_gum-ud-train,9521,0,389,1.0,1.0,2.0,,30.0,2.0,1.0,,,,,5.0,56.0,1.0,,,288.0,,,1.0,,1.0,,
en_gum-ud-test,1285,0,73,,1.0,,,5.0,,,,,,,3.0,12.0,,,,52.0,,,,,,,
en_gum-ud-dev,1341,0,51,,,1.0,,2.0,,,,,,,,9.0,,,,38.0,,,1.0,,,,
en_lines-ud-train,3176,0,127,4.0,3.0,4.0,1.0,5.0,,5.0,,,,,,34.0,1.0,1.0,1.0,62.0,,,,,1.0,,5.0
en_lines-ud-dev,1032,0,43,,1.0,1.0,1.0,2.0,1.0,,,,,,,18.0,,,,18.0,,,,,,,1.0
en_lines-ud-test,1035,0,45,,,1.0,1.0,,,,,,1.0,,,9.0,,,,29.0,,,,,,,4.0
ga_idt-ud-train,4005,0,256,6.0,1.0,,,,3.0,,4.0,,,,,39.0,2.0,,5.0,158.0,,1.0,,,11.0,,26.0
ga_idt-ud-test,454,0,21,,,,,,,,,,,1.0,,4.0,,,,12.0,,,,,3.0,,1.0
ga_idt-ud-dev,451,0,30,2.0,1.0,,,,1.0,,1.0,,,,,7.0,,,,15.0,,,,,,,3.0
en_ewt-ud-test,2077,0,33,,,,,1.0,,,,,,,,7.0,,,,23.0,,1.0,,,,,1.0
en_ewt-ud-dev,2001,0,32,,,,,3.0,,,,,,,,4.0,,,,25.0,,,,,,,
en_ewt-ud-train,12544,0,377,1.0,6.0,4.0,,22.0,,,,,,,3.0,46.0,,,,293.0,,,,,2.0,,
pcm_nsc-ud-dev,990,0,48,,32.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,6.0,,,,1.0,4.0,,
pcm_nsc-ud-train,7279,0,420,8.0,260.0,1.0,1.0,,26.0,,7.0,1.0,3.0,,6.0,5.0,1.0,,3.0,59.0,,4.0,,5.0,28.0,1.0,1.0
pcm_nsc-ud-test,972,0,49,2.0,29.0,,,,3.0,,2.0,,,,1.0,1.0,,,,4.0,,,,4.0,3.0,,
gd_arcosg-ud-test,545,0,20,,,,,,,,,,,,,1.0,,,,14.0,,,,,,,5.0
gd_arcosg-ud-train,3541,0,151,5.0,,1.0,,,3.0,,,,,,,21.0,,,,101.0,,,,,4.0,,16.0
gd_arcosg-ud-dev,655,0,23,,,,,,,,,,,,,5.0,,,,16.0,,,,,,,2.0
ga_cadhan-ud-test,193,0,10,1.0,1.0,,,,,,,,,,,,,,,5.0,,,,,2.0,,1.0
en_gentle-ud-test,1334,0,25,,,,,1.0,,,,,,,2.0,3.0,1.0,,,16.0,1.0,1.0,,,,,
en_pud-ud-test,1000,0,81,,1.0,1.0,,7.0,,,,,,1.0,,11.0,,,,60.0,,,,,,,
