Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dep,discourse,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-train,1781,0,1,,,,,,,,1.0,,,,,,,,
fr_pud-ud-test,1000,0,194,,2.0,,1.0,,,,31.0,,,160.0,,,,,
fr_fqb-ud-test,2289,0,183,,,,,,,,8.0,,,174.0,,,,1.0,
fr_gsd-ud-test,416,0,75,,1.0,,,1.0,,,11.0,,,62.0,,,,,
fr_gsd-ud-train,14450,0,2681,2.0,13.0,,2.0,9.0,,,484.0,,,2145.0,8.0,2.0,,15.0,1.0
fr_gsd-ud-dev,1476,0,271,,,,,1.0,,,45.0,,,223.0,,,,2.0,
it_isdt-ud-train,13121,0,1,,,,,,,,1.0,,,,,,,,
fr_rhapsodie-ud-train,1288,0,102,,,,2.0,,,,10.0,,1.0,84.0,,,4.0,1.0,
fr_rhapsodie-ud-dev,1081,0,74,,,,,,,1.0,9.0,,1.0,55.0,,,6.0,2.0,
fr_rhapsodie-ud-test,840,0,102,,1.0,,4.0,1.0,1.0,,8.0,,,79.0,,,4.0,4.0,
fr_parisstories-ud-dev,692,0,52,1.0,1.0,,,,1.0,,2.0,,,37.0,,,4.0,5.0,1.0
fr_parisstories-ud-train,1387,0,100,,,1.0,1.0,,,,7.0,,1.0,76.0,,,6.0,6.0,2.0
fr_parisstories-ud-test,697,0,46,,1.0,2.0,,,,,4.0,,,33.0,,,3.0,,3.0
qaf_arabizi-ud-train,1003,0,95,,,,,,,,25.0,1.0,,66.0,,3.0,,,
qaf_arabizi-ud-test,145,0,20,,,,,,,,3.0,1.0,,15.0,,1.0,,,
qaf_arabizi-ud-dev,139,0,16,,,,,,,,,,,14.0,,2.0,,,
fr_partut-ud-dev,107,0,18,,,,,,,,2.0,,,14.0,,,,2.0,
fr_partut-ud-test,110,0,24,,,,,,,,5.0,,,18.0,,,,1.0,
fr_partut-ud-train,803,0,217,1.0,,,,,,,48.0,,,166.0,,,,2.0,
fr_sequoia-ud-test,456,0,67,,,,,,1.0,,18.0,,,46.0,1.0,,,1.0,
fr_sequoia-ud-train,2231,0,362,,,,,,1.0,,67.0,,,290.0,1.0,,,2.0,1.0
fr_sequoia-ud-dev,412,0,57,,,,,,,,9.0,,,48.0,,,,,
