Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,cop,csubj,dep,discourse,fixed,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
pl_pdb-ud-test,2215,0,22,,,1.0,,,,,,,,,,,,8.0,,,,12.0,,,,1.0,
pl_pdb-ud-train,17722,0,177,,,1.0,,,,1.0,,,,,,,,42.0,,,,127.0,,1.0,,5.0,
pl_pdb-ud-dev,2215,0,27,,,,,,,,,,,,,,,5.0,,,,19.0,,1.0,,1.0,1.0
hr_set-ud-dev,960,0,5,,,,,,,,,,,,,,,,,,,5.0,,,,,
hr_set-ud-train,6914,0,100,,1.0,2.0,,1.0,,,,,,,,,,19.0,,,,72.0,,3.0,,1.0,1.0
hr_set-ud-test,1136,0,14,,,2.0,,,,,,,,,,,,1.0,,,,10.0,,1.0,,,
qpm_philotis-ud-train,980,0,5,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
qpm_philotis-ud-test,635,0,3,,,3.0,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,5,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,
sk_snk-ud-test,1061,0,7,,,,,,,,,,,,,,,3.0,,,,4.0,,,,,
sk_snk-ud-train,8483,0,47,,,,,,,,,,1.0,,,,,12.0,,,,29.0,,,,5.0,
cs_pud-ud-test,1000,0,7,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,
ro_nonstandard-ud-train,24121,0,8,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,
sr_set-ud-test,520,0,3,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,
sr_set-ud-train,3328,0,40,,,1.0,,,,,,,,,,,,7.0,,,,31.0,,,,1.0,
sr_set-ud-dev,536,0,6,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,
cs_cltt-ud-dev,316,0,6,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,
cs_cltt-ud-train,467,0,14,,,,,,,,,,1.0,,,,,3.0,,,,10.0,,,,,
cs_cltt-ud-test,338,0,7,,,,,,,,,,,,1.0,,,1.0,,,,5.0,,,,,
cs_fictree-ud-dev,1309,0,2,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
cs_fictree-ud-train,10160,0,75,,,,1.0,,,,,,,,,,,15.0,,,,56.0,,,,2.0,1.0
cs_fictree-ud-test,1291,0,7,,1.0,,,,,,,,,,,,,2.0,,,,4.0,,,,,
cs_pdt-ud-test,10146,0,102,2.0,,,,3.0,,,,,5.0,,1.0,,,21.0,,,,61.0,1.0,,,7.0,1.0
cs_pdt-ud-dev,9270,0,97,1.0,,,1.0,2.0,,,1.0,,2.0,,1.0,,,19.0,,1.0,1.0,59.0,,,,8.0,1.0
cs_pdt-ud-train,68491,0,718,8.0,1.0,1.0,,5.0,2.0,,,1.0,30.0,,5.0,1.0,,156.0,,,,458.0,1.0,1.0,1.0,44.0,3.0
lv_lvtb-ud-test,2412,0,25,,2.0,,,,,,,1.0,2.0,1.0,,,4.0,,,,,13.0,,,,1.0,1.0
lv_lvtb-ud-train,14358,0,150,,3.0,1.0,,,,1.0,,,2.0,3.0,,,15.0,25.0,1.0,1.0,,89.0,,1.0,1.0,5.0,2.0
lv_lvtb-ud-dev,2080,0,16,,,,,,,,,,,,,,2.0,1.0,,,,10.0,,1.0,,1.0,1.0
pl_pud-ud-test,1000,0,13,,,,,,,,,,,,,,,3.0,,,,9.0,,1.0,,,
cs_cac-ud-dev,603,0,3,,,,,,,,,,,,,,,,,,,3.0,,,,,
cs_cac-ud-train,23478,0,300,,2.0,,1.0,1.0,,,,1.0,3.0,,2.0,,,69.0,,,,205.0,,,,12.0,4.0
cs_cac-ud-test,628,0,16,,,,,,,,,,,,,,,3.0,,,,12.0,,,,,1.0
pl_lfg-ud-test,1727,0,12,,,,,,,,,,,,,,,,,,,12.0,,,,,
pl_lfg-ud-train,13774,0,92,,,,,,,,,,,,,,,11.0,,,,81.0,,,,,
pl_lfg-ud-dev,1745,0,7,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,
cs_poetry-ud-test,297,0,5,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,
