Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cop,fixed,flat,nmod,nsubj,nummod,obj,obl,root,xcomp
es_ancora-ud-train,14287,0,1,,,,,,,,,1.0,,,,,,,
es_ancora-ud-test,1721,0,0,,,,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,1,,,,,,,,,,1.0,,,,,,
it_isdt-ud-train,13121,0,3,,,,,,,,,,3.0,,,,,,
fr_parisstories-ud-dev,692,0,1,,,,,,,,,,1.0,,,,,,
fr_parisstories-ud-train,1387,0,4,,,,,,,,,,4.0,,,,,,
pt_bosque-ud-test,1167,0,1,,,,,,,,,,1.0,,,,,,
pt_bosque-ud-train,7018,0,2,,,,,,,,,,2.0,,,,,,
fro_profiterole-ud-train,15503,0,8,,1.0,,5.0,,,,,,,,,,2.0,,
qaf_arabizi-ud-train,1003,0,7,,,,,,,,,,7.0,,,,,,
qaf_arabizi-ud-test,145,0,2,,,,,,,,,,2.0,,,,,,
qaf_arabizi-ud-dev,139,0,1,,,,,,,,,,1.0,,,,,,
it_partut-ud-train,1781,0,2,,,,,,,,,,2.0,,,,,,
ca_ancora-ud-dev,1709,0,54,,,5.0,6.0,,,,3.0,,4.0,,,,35.0,,1.0
ca_ancora-ud-test,1846,0,81,,,5.0,5.0,1.0,2.0,,8.0,,8.0,,,,52.0,,
ca_ancora-ud-train,13123,0,413,3.0,8.0,43.0,29.0,3.0,10.0,3.0,15.0,,41.0,3.0,1.0,2.0,239.0,10.0,3.0
de_gsd-ud-train,13814,0,0,,,,,,,,,,,,,,,,
