Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,csubj,nmod,obl,parataxis,root
sv_talbanken-ud-dev,504,0,9,,1.0,,1.0,1.0,1.0,5,,
sv_talbanken-ud-test,1219,0,26,,7.0,,,,5.0,12,,2.0
sv_talbanken-ud-train,4303,0,59,1.0,24.0,,1.0,,6.0,23,,4.0
no_nynorsk-ud-dev,1890,0,24,,11.0,1.0,,,1.0,10,,1.0
no_nynorsk-ud-test,1511,0,17,,4.0,,1.0,,2.0,6,,4.0
no_nynorsk-ud-train,14174,0,154,1.0,69.0,1.0,4.0,,22.0,50,,7.0
is_pud-ud-test,1000,0,4,,,,,,,3,,1.0
sv_lines-ud-dev,1032,0,13,,7.0,,,,1.0,5,,
sv_lines-ud-train,3176,0,49,2.0,15.0,1.0,,,13.0,18,,
sv_lines-ud-test,1035,0,9,,3.0,,,,2.0,4,,
is_gc-ud-test,540,0,2,,,,,,,2,,
is_gc-ud-train,3960,0,6,,,,,,,6,,
is_gc-ud-dev,500,0,1,,,,,,,1,,
sv_pud-ud-test,1000,0,15,,5.0,,,,2.0,6,1.0,1.0
is_icepahc-ud-dev,4865,0,49,,1.0,,1.0,,,46,,1.0
is_icepahc-ud-train,34007,0,160,1.0,3.0,,2.0,,,149,1.0,4.0
is_icepahc-ud-test,5157,0,31,,,,,,,31,,
is_modern-ud-train,2703,0,4,,,,,,,4,,
is_modern-ud-test,438,0,2,,,,,,,2,,
